Domain	Label	Rating	Review
AlarmClock	POS	5	the Westclox Travelmate be multi-useful . use when travel , at work , or at home . the ideal `` backup '' when weather-related problem develop . keep one in you car -lrb- and boat , etc -rrb- . if you be downsize or just want thing small but effective , this be the clock for you . Easy to use button , clear dial and amazing battery life . my original one be over 10 year old and never have battery replace . it be actually kinda weird ... in a good way . these will be some stock stuffer this year .
AlarmClock	POS	4	I buy this for my husband 's birthday . he have trouble sleep at time . he love the sound and be snore in a matter moment .
AlarmClock	NEU	3	I be look for a inexpensive portable alarm clock . I have have this one about a month and like it so far . pro : - alarm be loud enough - back light be bright enough - have protective cover for digit when travel - non-bulky with folding stand - can check alarm set time by push button con : - hard to see the number except if you be look down at a angle at the face of the clock - to set minute you have to cycle all the way through ... not a big deal - a little tricky to slide the switch between set the alarm and arm it and turn it off -lrb- I be worried I 'll slide it to the wrong setting -rrb-
AlarmClock	POS	5	order it for my wife to use at home and when travel . it be perfect for who want a travel alarm that be easy and convenient to use .
AlarmClock	NEG	2	unfortunately I be not very pleased with the alarm clock . the ocean sound more like static than a real ocean . also the alarm clock do not look as cute as I imagine it would -lrb- base on the picture -rrb- . the face of the clock actually look as if the alarm clock have be use before because it have a few scratch . on the upside ... it work .
AlarmClock	NEG	2	the description of this product seem ideal . . not to have to reset you alarm for differnt schedule everyday . however the direction be very brief and vague and the clock be hard to set , both the time and alarm . do not want to bother send it back so I put it in the guest rooom where a clock be need , but not a alarm .
AlarmClock	POS	5	this travel clock be exactly what I want . it be very easy to operate , it have no bright light at night , it be easy to read , it be stable and compact . and a good price . I prefer to have the temperature include on the lcd , but even without that , it be still worth 5 star .
AlarmClock	POS	4	the clock be quite functional , the only issue be that the light be too bright in the dark , make the number blur .
AlarmClock	NEG	2	when I find this while search for a alarm clock I be really impressed . a attractive look lcd picture frame with mp3 & alarm clock for less then many regular clock , what a deal ! when I open it I be much less impressed . First off , even though I use a ruler to try to visualize the size of a 3.5 '' screen , once I open the package and place it on my nightstand it just look tiny . then I try to use and within 10 minute I decide to return it . as a picture frame that you would put on you desk at work , maybe it be not too bad . even though the screen be small , in just picture mode it be not terrible . the screen be clear & bright , and the resolution be pretty good for what it be . but as a alarm clock it be terrible . you have 3 mode to display the time : a rendering of a analog clock -lrb- that only use 1\/2 of the screen so it be microscopic -rrb- , a full month calendar mode , and a clock\/date readout with a thumbnail photo . to look at the picture show in the Amazon description they all look pretty good -lrb- magnify on my 22 '' computer monitor -rrb- . but in reality , on such a small screen you need magnify glass to read the time in any mode . then I try to set the alarm . you have to go through 2 sub-menu and scroll down through 10 different option to set it . and push the completely non-intuitive button require quite a bit of force and they make a rather loud -lrb- low quality -rrb- click sound that will wake the kid in the next room . for instance , if you want to change the time from 6:30 to 7:15 literally take a few a minute because you have to hit the button like 30 time to get into the menu and scroll down to where you set it , then once for the hour and 45 time to change the minute -lrb- hold the button down do not let you scroll through the number -rrb- . in addition , it also display the indoor temperature and even though I let it sit on the nightstand for several hour it always read 10 degree higher then the actual temperature . to sum it up : as a cheap digital frame ; good as a alarm clock ; Bad
AlarmClock	POS	5	very nice replica of Vader but would have be better if it include he cape . when compare to the Stormtrooper , the lack of contrast on the Vader face be a minus factor . unable to capture vader face if you be to take a picture of it , unlike the Stormtrooper .
