Domain	Label	Rating	Review
Baby	POS	4	the Gerber mitten you find in the store be too short and the wrist be too big . these give my son freedom to move he finger but do not fall off like the other . the wrist size be perfect and the fabric softness and thickness be great . my only complaint be that for something so simple and easy to make , they be not finish well . the serger string where just hang out . I tuck they in myself , fear that otherwise they could unravel . anyone with a serger could easily make these , but with a baby and another child keep I busy , I do not want to take the time -lrb- especially at this price point -rrb- . oh , and one of my bow fall off the first time they be worn , so we 'll see how they hold up .
Baby	POS	5	this sleepsack be a great way to make sure you little one stay cover all night long . great buy and great price .
Baby	POS	5	we have use halo sleepsack for we son for a long time now . I be always a little weary of these early walker sleepsack as I like the idea of he foot be cover and cozy . however , once we move to a warmer climate my son be too warm in he normal fleece halo sleepsack . I figure the early walker sleepsack would be great because it would be kinda like have a blanket on and stick you foot out to stay comfortable temperature wise . so I buy two of these and love they ! my son be 15 month and tall - 32 inch - and these fit he great . he wear the size large\/12 -18 month with some room to grow . it do drag on the ground a bit , but not to the point of trip he up . love these ! I wish they make they in a cotton version also .
Baby	POS	5	this be the perfect solution for all those bath toy for we . there be a compartment for shampoo , soap , loofah , etc , a compartment for small toy and a compartment for larger toy . I have not experience any molding , I just make sure it dry out before I use it next . the adjustable part of it allow I to fit it to my average size tub perfectly . this be so much better than anything that hang on the bathtub wall with suction cup !
Baby	POS	5	Came super quickly in the mail . Dont fit my little girl , but that cause she be a tiny baby lol will def be order these again !
Baby	NEG	1	I buy this pump because the hospital say it be a great brand to buy . I be ready to throw it out the window . it start out you set you speed which be fine , but then part way through pump it will change the setting on you to either way to hard and it hurt very much , my nipple have come away raw from this dang machine , or it will go too light to the point where no milk even come out . it also do not pump both side equally . it will do the side that I put the main pump on -lrb- the one that you set it with -rrb- really good but then the other side wont hardly do it at all . I can be at 3 ounce on the one side and only have like 1\/2 a ounce on the other . I would never buy this stupid machine again . it be not worth the money !!!! by the way this be Jared 's wife : -rrb-
Baby	NEG	1	I be give a double snap-n-go stroller as a baby gift from a relative . after two use , the stroller break and will no longer fold down . not only be I strand in a parking lot when the stroller break , but I have be unable to use the stroller -- and thus , unable to leave the house with my newborn twin - for ten week while I have go back and forth with Baby Trend 's customer service department . the Baby Trend customer service department have have I disassemble the stroller three time ... take and email two picture of the broken stroller ... I have have 3 + phone conversation with 4 different customer service rep ... I have wait a total of ten business day for two different box that be send to I -- neither of which be large enough for the stroller . all the while , I be a mother of four child under 4 year of age . they have be completely unreasonable in what they have ask I to do ... the latest request be to wrap the stroller in a black garbage bag to send it back to they ... something that FedEx highly discourage -lrb- and say there will likely be damage to the stroller -rrb- . I have literally miss out on many family experience due to this broken stroller and Baby Trend 's refusal to remedy this issue . we can not take out twin out of the house without a double stroller - and unfortunately , we make the mistake of get a Baby Trend product . do not make the mistake of buy this product . the only thing worse than the quality of the product be the level of customer service you will get from Baby Trend .
Baby	NEU	3	I buy these for my daughter in 2008 and they be make of a very soft flannel material , which I really love . I be expect a similar product when I purchase these for my son , but they change the flannel to that gauzy cloth . it be ok , but I prefer the flannel . also the border shrink after I put they in the dryer -lrb- even use the low setting -rrb- , so mine be all out of shape . pro - fit my shoulder well -lrb- although my husband complain it keep fall off -rrb- , cute design con - expensive , be not pre-shrunk so border with shrink
Baby	NEG	2	this product inflate easily enough , be adorable and be easy to store -lrb- i just put a command hook in my shower and hang it up -rrb- . however , it be extremely slippery . we use it last night for the first time with my 8 month old son and he be slide everywhere . we do not have this problem with the safety first tub we have have for we older son . I will have to buy a bath mat to put at the bottom of the tub and will need to be even more alert that I be previously , otherwise my son will knock himself out ! note to all buyer : try to find a inflatable tub with a non-slip bottom ... Update : I buy a little bath mat by Green Sprouts and it fit perfectly and help a bit with the slip issue
Baby	POS	5	I buy this as a gift for my friend ' son 's first birthday after she mention she could not find it in store . she say out of everything he get that be she favorite gift .
Baby	POS	5	I buy this for my 14 month old who like to swing a leg over the crib rail like she be try to get out . I hope this keep she from be able to climb out for a while . also , it give she extra warmth without have to worry about keep a blanket on top of she .
Baby	NEG	2	I get these lock because I do not want my son pull all the stuff out of the kitchen cabinet all the time . but they would not work with the way we cabinet be build and when I put they in drawer , they be pretty easy to pull off with just the adhesive . and two break when unsuspecting relative give they a tug think something be stick in the drawer\/cabinet . I be impress by the mechanic of how they work , but in the end it be just easier to put the non-child-friendly item out of reach . however , if you have a drill and the time to put they with screw - and you cabinet have the right size lip inside and the drawer be snug , it might really be what you be look for . my advice - get a couple and see if they work before buy into the whole system , which be what I do .
Baby	POS	4	I use this to go from Okinawa , Japan to the U.S. and back again . I like the fact this product be very affordable and work with my roll carry . it allow I to take my daughter 's Britax Marathon stroller -lrb- which she love -rrb- on the plane and allow she to sleep comfortably . however , the negative side to this for I be try to get through security check point . I have to disconnect\/disassemble the car seat from the carry on , take my daughter out of the car seat , then put the stroller and carry on through the x-ray machine . and then put it all back together again on the other side . with that say , it be still a great product . I get a whole lot of people tell I how `` together '' I seem to have everything .
Baby	NEG	1	this be the worst potty chair ever . the cushion absorb the pee , I try soak the cushion in bleach and the pee smell stay in the cushion . also , if you have a boy the shield do not work . do not waste you money .
Baby	NEU	3	my teething son be not really interested in it . it do look nice though , stylish and easy to clean . I think it be a bit costly for a teethe toy when I really think about it .
Baby	POS	5	I see this in a boutique gift store for over 10 dollar more than what this cost . I love this stuff animal , its so cute and unique . I get it for myself , not a baby !
Baby	POS	4	my son absolutely love this mobile . he 'll stare up at the face of the little creature -lrb- a lizard , parrot , monkey , and bug -rrb- and giggle like crazy , it be hilarious to watch . what I really love about it be that it be super bright and colorful ; my son have no trouble focus on it at 4 month old . it be also easy to put together and simple to attach to the crib . the music box part play 18 minute of classical tune and its volume setting seem adequate to I . the mobile portion be detachable for when baby do not need that bit anymore , and the music box have a nightlight -lrb- not too bright -rrb- which have prove useful . all in all I love this product and definitely recommend it .
Baby	NEU	3	if you like the princess theme , these will suit you fine - otherwise you will find they , as I do , over-the-top .
Baby	NEG	1	cute graphic . but so cheaply make after one wash the neck ribbing rip at the seam . do not waste you money .
Baby	POS	5	I try these after feel like the First year brand pacifier wipe be make with too many stinky chemical . I have a big nose for the unnatural . these have a fresh , clean smell unlike they competitor . I would recommend these over the First year but I think they work the same .
Baby	NEG	1	these bib have poor quality snap apply to they . they be difficult to get undo and within 1 week of use the snap break on 1 of the bib . the next one break a week later .
Baby	NEG	2	while the sleep nest be nice and cozy , and nice to look at , there be a couple of thing about it that make I nervous . 1 : it off gas . the packaging it arrive in off gas a lot itself , so I imagine that the sleep nest absorb the plastic fume while it be sit in it . I wash the sleep nest once but it smell just as strongly . 2 : the arm hole be really large so the sleep nest have the potential to rise up and cover the baby 's face . I have no idea if this would happen or if it would matter for a older baby but my daughter move around a lot in she crib so after get a replacement from the company that have different packaging -lrb- and thus no off-gassing -rrb- , I still do not want to use the sleep nest . just a couple of thing to take into consideration !
Baby	NEG	1	yes , this product be cheap and there be a reason why , it be junk ! it do ot stay on and it do not cover the entire back of seat . my kid can kick it off with one kick . spend a little more cash and get something that will do the job correctly .
Baby	POS	5	after get a new vehical with leather seat I figure I need one of these . it fit perfect and take the grunt of my kiddo crawl around , and spilling juice : -rrb-
Baby	POS	5	we have newly bear twin and this avent set be a nice addition to the Avent gift set we already have . you have a nice selection of bottle and the nipple seem to be easy for the baby to use . one thing to not be that this product be not make in China like many other bottle . I want to point that out as some people like to know that info . this be a nice starter set but you will need to buy additional bottle just to have enough on hand . we have the gift set in addition to this and we still need a few more bottle due to have twin . it be nice not to have to wash and\/or sterilize all the time by have more on hand . while it be hard to tell how much the bottle prevent colic they do seem very nice and the nipple seem perfect for we newborn .
Baby	POS	5	these bib be on the pricey side , but so worth it in my opinion . they be incredibly soft and very absorbent -lrb- one bib can last all day - even for a mega-drooler -rrb- . best of all , they do not look like a bib !
Baby	POS	5	excellent for sleep baby . we use it every night . Easy to put on . Easy to zip . Great for wash daily .
