Domain	Label	Rating	Review
Bag	POS	4	this be a pretty decent product . more room than I expect , but the shoulder strap really need to go . there be absolutely nothing special about it . it could use some sort of padding on it too . the bag fit my Canon EOS ix Lite 2 lens , a flash , the owner 's manual , 5 roll of film , and I have still get room .
Bag	POS	4	what a great bag ! I have a few quibble ; as note , the inside pocket be a bit tight . the zipper tab do not seem to match the heft of the zipper . the exterior pocket flap should be a bit wider\/broader to cover the pocket and the gatemouth design seem to balk if you stuff the bag . all minor . well construct overall and every bit worth the price . a reasonably lightweight bag that hold a decent amount - of course , you 'll cram more into it than you can comfortably carry . because it be a medium\/long bag you have to balance the load - otherwise it dip - and why no shoulder pad ? I personally would not recommend the recip see w\/blade in the bag . I once trip and land on a nylon bag w \/ a jigsaw - blade in thigh - ouch ! no more . blade off all saw -lrb- except circular -rrb- and hard case for transport . I like this bag a lot .
Bag	POS	4	the picture in the catalog make the product appear bigger than it be actual size . if you think the one you want be big enough ... go bigger ! I wish I have . Quality be good .
Bag	NEG	2	look like a good product , but be clearly use and the belt be worn so I return it . Amazon will not let you exchange this product , so I order another . if it be use as well , I 'll be dissapoint . so far I have order 3 powertool on Amazon and all have be clearly use , and some missing part . I be give they one last shot . beware .
Bag	POS	5	I buy this for my camcorder awhile back and it be a pretty decent bag . it be sturdy and it hold everything I need . it be decent bag if you travel light however if you be look for a bag that fit all you camcorder equipment -lrb- if you intend use for the bag be a carry case -rrb- then you be better off get something else .
Bag	NEG	2	I have recently purchase numerous Bosch tool from Amazon\/Tool Crib and I have be a life-long Bosch fan . however , I have to say that this be the very first time I have be let down by one of they product . I guess I just get a rare `` lemon '' . immediately on use it , I have problem with the `` lock-on button '' . either it would not keep the machine running , or when it do engage I could then not stop it ! it work sporadically , but usually not until I have try to disengage or engage it several time . then , after just 15 minute use sand some deck timber , a loud clatter develop . sound like a bearing problem ? this do not seem to unduly affect performance , and since I purchase the unit for this specific job , I carry on for a while . then , the rear belt wheel start to slip or disengage , like a slip clutch . the work I be do be not unduly difficult and for a period of time , the work be go like a dream , much as I be use to with Bosch tool . so finally , I just give up-extremely disappoint that I could not finish the job at hand . I have return it and I will get the 1276dv instead .
Bag	POS	5	I want to buy something for my Canon PowerShot g3 and I find it . maybe the bag be a little bit small , but it be not that bad . it can contain the camera itself , 2-3 compactflash card and spare battery . I do not think you can find a better bag for the price .
Bag	NEU	3	well ... it look bigger in the picture . be Bosch I would have expect the material to be a little more durable . it do catch 60 to 70 percent of the sawdust as advertised but you have to empty the bag often . I feel it be not worth what I pay -lrb- $ 12 and change -rrb- . six or seven dollar would be a good price for this item .
Bag	POS	4	a pleasure to use . relatively quiet . Belt track flawlessly . adequate power . can clamp upside down in a wood worker 's bench vice to use as a stationary sander . dust collector work well and be usually not in the way . Wish it come with it be own case . all in all I be very happy with the purchase .
Bag	POS	5	all my friend could say be `` be do you get that Amazon.com bag ? '' . it be very durable and a great gift idea . what else will Amazon.com sell ? thanks Amazon.com .
Bag	POS	5	we use this product in a cabinet shop and it hold up well to the daily use . Easy to use and maintain well .
Bag	POS	5	at first glance , I do not think my 20 foot 4 gauge jumper cable would even fit into this bag . but they fit without much effort and there be still room for a few thing to fit in the bag . I also fit a 20 foot extension cord in addition to the jumper cable . I also put some temporary tire repair item in there as well , all fit fine . do not take up much space and can hold quite a lot . I be satisfied with this purchase .
Bag	POS	4	a very nice little bag . hold my sharp Viewcam , extra tape , and cord . very compact and lot of cushiony foam . reccommend for small to mid-size camera or camcorder and all you little accessory . great price !
Bag	POS	4	it be perfect for my Sony comcorder , plus two or four tape , extra batery , and even ac adapter . only annoying thing be that it make this weird `` gi , gi , gi , gi . '' sound -lrb- plastic glide -rrb- when carry it around . the strap be decent , not extremely comfortable , many improvment can be make . it be just the right size , and I think it be a good buy .
