Domain	Label	Rating	Review
CableModem	POS	5	Works well with Time Warner . would get rid of Time Warner if I could but its the only game in town for cable internet . Got rid of all they other service .
CableModem	POS	5	I love the performance of the Motorola SBR121 SURFboard DOCSIS 3.0 I be finally not pay for lease to cable company for use of they router . I recommend this product .
CableModem	NEG	1	we subscribe to Comcast high speed internet service and have enjoy it far more than we battle with Verizon . we have a Motorola modem before and it work great for a couple of year - until Friday , June 15th , we could not get a connection for any longer than 30-45 seconds before the modem would restart itself over and over and over . the service rep at Comcast infer that we must have a bad modem so we buy a brand new Motorola Surfboard 6121 and we have the same problem ! we bring out the Comcast technician who test the line and assure we that the line be good but the modem be not work right . so I get a second new Surfboard 6121 modem and that do not work either !! we daughter , who also have Comcast , tell we that they have a Arris 7640 modem and so we order that . the Arris modem come and presto , it work . I always think that Motorola be a excellent modem but , for some reason , they be not compatible with Comcast in Massachusetts . good luck - I know how frustrate it be .
CableModem	POS	5	very easy to install . you have to contact the internet provider with the new MAC number on the modem before you disconnect the old modem . once the provider update the system , just replace the old with the new , connect the cable -lrb- power , cable , ethernet to router or computer -rrb- and do . no software to install or configure . I have this modem work for about 3 week now , without any loss of service . before I have a 3 generation -lrb- docsis 1.0 -rrb- old Cisco Linksys and I have frequent disconnect and have to reboot the modem once\/twice a day . I have this modem match to a CISCO e3200 wireless router and they work great together . highly recommend this modem . the seller service be great too .
CableModem	POS	5	get a letter from Comcast say I need a new docsis3 .0 modem , so I look up what be a good one and this one come up ! very easy to setup , just call COMCAST FIRST ! I try a few time to do the automatic setup , but Comcast do not let you do it . it keep reset it every 3 minute or so , so it look like you can set it up and then it fail ... so just call Comcast -lrb- or you provider -rrb- and it work great ! use this with a Linksys ea3500 and it be a vast improvement over my old modem\/access point .
CableModem	POS	5	I get this Motorola SB6121 Modem to replace a old sb5100 Cable modem . while the seller I purchase from turn out to be a total scam , Amazon make good with a full refund . this modem really be fast !! I have cox Cable Preferred service which guarantee 15mbp download , and I get consistant 20 + mbp on any test site I use . Works great . if you need a cable modem , this be the one to get .
CableModem	POS	5	I buy the 6121 to replace the 6020 that I be rent from Comcast for $ 7 a month . I have have no problem with it in 3 month of use - work just as well as the 6020 . it do not get `` overly warm '' & have not need to be reset . perhaps other user have get a defective product .
CableModem	POS	5	hook it up and only take about 5 min for the firmware to install . go from 12 mb which be what im pay for to 16 . Becareful if you have comcast . after 5 seond after give the serial to the comcast rep she tell I that she wasnt get a signal and I need to send this modem back and keep theirs . I tell she she didnt even let it boot up but she didnt care . after the firmware install it come up and work right away . call again to have they pick up the old modem and they still say the modem wasnt give a signal even though I be on the web while on the phone . they will lie to you and ignore you to keep you pay the rental fee . now they will not pick it up with out I pay some bull % $ # @ fee . now im look for cable box to buy because I have have it with comcast . back to the point . so far so good .
CableModem	NEG	1	I buy this modem so that I could rid of the $ 7 monthly rent . it get provision fine but keep on get reset every now and then . in two day time it have be reset on its own like 5-6 time . I buy this modem instead of Motorola surfboard as I already have a Linksys wrt54g2 router but look like cisco modem be not even compatible with they own router . I have try so many time to hook up this modem with the router but no use . I want to save $ 7 rent but look like that cause I a whole lot of pain and if i continue to use this modem I might have to buy a compatible router worth around $ 60 - $ 70 . so look like to save $ 7 \/ month I be spend $ 170 - $ 180 upfront which do not sound good . I be gonna return this modem today . definitely will not recommend it to use with Comcast .
CableModem	NEU	3	Easy installation and work great . my 2 complaint be ; 1 . it be really expensive 2 . the range be not great I have get a 6 year old linksy that consistently have a better signal throughout the house . if you need a cable modem\/router unit , this be good . if you need a cable modem\/router unit that have great range , look elsewhere .
CableModem	POS	5	I simply replace my rr modem with this one and power it up . the speed be cripple and when I try to bring up a web page , I be present with a message `` you MAC address be unknown , please call twc\/roadrunner and give the Agent the new MAC address '' . I call the number give and after 10 minute get ahold of a technician who take the new MAC address and assign it to my account . within a few moment the modem disconnect . I unplug it and plug it back in , and when it come up , I be at full speed again . my d\/l speed go from 8mb to 11mb and my ping drop from 39m to 21 ms.
CableModem	POS	5	if you need a solid no-frills cable modem that can keep pace with technology and be affordable , this DOCSIS 3.0 modem be the ticket . there be no firewall or other crap that need to be configure . it simply create a ethernet connection to the cable system . thus , you will need a router\/firewall of some kind . it work and work well . very reliable . I wish my router be as reliable as this modem be .
CableModem	POS	4	I need a reliable modem so I can work from home . buy modem be not exciting by any measure , but this one get the job do .
CableModem	POS	5	it seem faster but not consistently . upload seem to rate faster than before . I have reach speed that I do not have before on the free internet speed test website -lrb- try the usual trio -rrb- . I have Comcast . this model be accept by they . they do not support all model . you need to call they to make it work and give they the sn and some other number on the box -lrb- the sn be on the unit , but not the other number so you really need to keep the box when you call they -rrb- . after the call , it work fine . Make sure you phone be not VOIP or else you 'll need to call they first I assume . so it be faster , but not a huge different on a daily basis , except if you have dropbox or thing like that that can take a lot of time to upload -lrb- the file ... especially if it be gb -rrb- .
CableModem	POS	5	this modem be great . I get a average of 36mbit down and 6mbit up with Comcast blast . on my old modem I get around 15mbit down and 3-4mbit up
CableModem	POS	5	it be easy to setup . it improve my speed from 19meg to 31 meg . I would recommend this product to anyone whose on a DOCSIS 3 cable line .
