Domain	Label	Rating	Review
Dumbbell	POS	5	as mention already , expect the package to be destroy when it get to you door . otherwise it be a heavy piece of metal that be durable and function exactly as intend .
Dumbbell	POS	5	I receive the Shaker in two day - great for build you arm - you get out of it what you put into it .
Dumbbell	POS	4	it seem to work some muscle that be not work before . limited amount of way a person can use it . I find a few more way I could use it that be not on the dvd . I think the price be to high , price of $ 29.95 . it be price the same locally but by buy it from Amazon I save on the shipping and tax and it be deliver to my door . price for it will probably go down after a while . over all I like it . down side be it ` s limit use .
Dumbbell	POS	5	I use this dumbbell for bicep curl . very nice and sturdy . on Amazon it be go for $ 30 i think ... here be the bottom line . shipping be almost as much as the product . its pretty much a rip off . I buy the from a store near my house that I work at and I pay $ 25 before any employee discount . now that $ 5 before shipping . good dumbbell but not worth 60 buck
Dumbbell	POS	5	just get mine in today via fedex . open box , everything wrap up tightly in bubble wrap , take inventory of all bolt , nut , and washer , and assemble in about 15 to 20 minute . hold all of my weight and more , though as other have say , the smaller weight do not fit -lrb- 1 , 2 , & 3 lb ` der -rrb- . very tidy area now - hope wife approve ! I think this be a excellent rack for the money as be very sturdy , well build , and professional in room .
Dumbbell	POS	5	I purchase the man 's shakeweight rather than the one target for my gender because I have always though the weight that be gear towards woman be far too light , for I at least . 6 minute do the various position with this thing make my arm , shoulder , pec , and lat feel like bowl of Jello . I love it . it be so intense , as stupid as it sound . I have be use it nightly for about a week -lrb- 6 minute , 10 minute break , then 6 more minute -rrb- and have already notice a slight change in my upper body . for those who though this thing have battery and move by itself , I really hope you be not in any sort of position of power or managerial occupation . or parent . anyway ... this be one piece of make for tv hilarity that actually work like they say it do .
Dumbbell	POS	5	I recive the item on time and in exelent condition -lrb- brand new -rrb- . I recoment highly .
Dumbbell	NEG	2	well I must say ... I read a bunch of review and hype on this item from Amazon customer so I go out and buy one . I be very disappointed with it . I watch the video , review the instruction , try it out for 24 hour and be take it back to Walgreens tomorrow for a refund . I feel this one be cheaply make and be rather a joke to try and use . maybe I be miss something here . needless to say , I be go back to walk around the football track and use free weight again . at least I know that work .
Dumbbell	POS	5	this dumbbell be use by most sport club in my school as a standard training equipment . the design of this dumbbell prevent slip between you hand and bar by sweat . hexagonal bell prevent roll on the ground . Easy to grip and safe to use . highly recommend .
Dumbbell	POS	5	I be a 51 year young man and need a way to firm my upper chest and arm . I must say I read all the review good and bad . well let I tell you after 1 week with a 1 day break every 2 day , I sure can tell that I have really do some work on my muscle . but it hurt so good . it be very addicting and I do believe that this will do just what I expect of it . and yes the first use be a piece of cake , but beware it will sneak up on you for sure . Got my Motrin handy , , LOL . I think that the quality be just as describe and be not at all disappointed . look forward to the result I will get , I swear there be a slight change in my upper arm appearance already . I be happy and would recommend it to any man look to start out with a low impact approach to a work out regimen . it be give I a new out look on myself and also a drive to go on further down the road into a weight lifting workout program . look out boy here come Daddy .  Shake Weight for Men Dumbbell
Dumbbell	POS	5	it say what it say and do work i only get this the 5th and and only be work with for a short time and already can feel the burn from work out and work with these few day the only down fall to this be that it only work you arm so far from what i have see on the cd that come with it i be more want to work on my belly and ab but if you want a good working and sweat alot from the work and burn then this be the thing for you . . although i give it a 5 it be not a bad workout weight .
Dumbbell	POS	4	it be a nice rack for dumbbell and easy to assemble . the only complaint I have be the distance between rail be fix and my light weight do not span the distance . they should add a extra set of hole to allow for that .
Dumbbell	NEU	3	I buy it . I use it once . I kind of would just prefer two free-weight . it be mostly just a conversation piece .
Dumbbell	POS	5	I figure it be a gimmick when I order it , but I really like it . it definitely do work ! I like that you can see and feel it work . it do not take much time to do the workout , so I do not talk myself out it . in just 3 week I can really see a difference in my arm .
Dumbbell	POS	5	nice bar BELL and CAN USE easily . the PRICE WAS ok . I do not KNOW if I could have GOTTEN IT CHEAPER have I shop around more but I need it to go with my dvd .
Dumbbell	POS	5	this funny contraption actually work . my arm get tire after a minute ! I recommend to anyone who want to tone they arm . I use while watch tv .
Dumbbell	POS	4	Perfect ... I be look for a weight set for my small apartment . . and I love the feel of the weight in my hand too . this set be so well-priced . buy with confidence . arrive ahead of the schedule and I take advantage of the `` free with Super Saver '' offer -lrb- saving over $ 30 in shipping !! -rrb- .
Dumbbell	NEG	1	my Aunt tell that she love this thing . it be a stupid . and , I can not believe I buy it .
Dumbbell	NEU	3	product be of good quality . display image be mislead . you be only pay for one weight ... not two !?
Dumbbell	NEU	3	the product seem fine , but the description on the Amazon website be incorrect . it say `` accommodate all dumbbell style and size . '' this be not true . we smaller dumbbell do not fit on the rack properly . we be go to flip the rail around and put a piece of plywood in between to make it work .
Dumbbell	NEG	1	I purchase a shake weight online and the company sell all my information to herbal life . herbal life call I about once a week since I purchase the shake weight ask I to buy pill , etc. . if I have know that the company that sell shake weight do that I would not have give my phone number to be harass nor would I have buy the item . I have ask nicely and also very sternly ; yet they still continue to call . nothing be worth what I be go thru . yes , the product work fine -lrb- thus the one star -rrb-
Dumbbell	POS	4	I die laugh the first time I see this advertise on television . after read the review I have to give it a try . I be a personal trainer and have do weight training for year . because of that , I order the man 's version of the Shake Weight . who would have think that a little 5 pound weight could be any kind of a challenge ! though this will not be my primary source of weight training , it will certainly become a part of my routine . it be always good to keep you muscle guess and this be definitely a fun way to `` shake '' it up a bit . of course , I will not use it where anyone can see I !
Dumbbell	POS	5	the shake wieght will definately work you , and wear you out !!! it be a great deal !!! I use it regularly , and you can actually feel the result , you 'll tigthten up quickly use it , you 'll love it . its a excellent way to stay in shape !
Dumbbell	NEG	1	not only do I get the impression that it be battery operate , appearently a lot of other people think the same thing . the card enclose with it for FAQ say in part `` unlike the impression create by the rapid motion of the device , the Shake Weight be not battery-powered-the user generate the movement . the internal resistance etc. . I certainly would not have order it if I have know that .
Dumbbell	POS	5	I originally purchase the selecttech 552 dumbbell with the intention of simply pick they up from the floor . this be not good on my back so I finally order this stand . the stand work as advertise , look great , and definitely help avoid stress on my back when pick up the weight . it take approximately 30 minute to assemble the stand , which be not difficult if you organize the part and follow the direction . you will likely need a wrench , though , to tighten the screw . I do not have one with I , so my stand be a bit loose , but it still work fine . the stand come with strap to better secure the weight when not in use -lrb- although it appear to be more for store display purpose -rrb- , and it come with optional roller wheel to make the stand easier to move around . I recommend it .
Dumbbell	POS	5	I number of the review note that this thing be very difficult to put together . I do not find that to be the case at all . follow the direction and it be a snap . well , maybe not a snap , it take I 45 minute while I be watch tv . one great piece of advice that come from another review be crucial . there be three different set of bolt that be very close in length . Make sure you line these bolt up and use the correct length for each use . if you blow it here it could be a very long , frustrating operation . perhaps this be where people be go wrong with this rack ? if you have the Bowflex barbell , you really should get this rack .
Dumbbell	POS	4	these work well for a quick workout when I can not make it to the fitness club . one of the box 's of the 25 lb dumbbell be almost break in half when I receive it but the weight appear undamaged . good quality , and I just end keep the wrapper around the handle because it feel like the grip be sandpapery without glove -- not that I ever use lift glove anyway , but the wrap make they feel comfortable .
