Domain	Label	Rating	Review
Flashlight	POS	5	we have two of these flashlight , and keep one in each car . the size fit comfortably in the hand plus it be a little shorter than the 2 d cell maglite . the weight be also a very nice feature , in that it you could hold it in one position much longer than you could a flashlight that might be just a few ounce more in weight -lrb- say a 2 or 3 d cell maglite -rrb- . the beam of light it produce be very good for a 2 c cell battery power flashlight . in fact the beam of light that it put out be not that far from the 2 d cell maglite , and with the led upgrade there should not be any difference between it and a 2 d lead maglite . but I be just guess here since they would both 3 watt lead flashlight . anyway it really be a great flashlight and believe that they 'll out last I ; -rrb-
Flashlight	POS	5	we be stand around a campfire several year ago and someone ask to look at my husband 's Mini mag Lite . when we friend be return it , we joke , `` do not throw it in the fire ! '' well , guess what ? he toss be a little short , and into the fire the mag Lite go . as we stand there try to figure out how what to do next , the mag Lite simmer in the hot coal . when we finally extract it from the fire , my husband turn on the switch , and to we utter amazement , it still work ! sure , the plastic disc at the end be completely melt away , but the metal casing be totally intact and the flashlight still work perfectly ! how many flashlight can do that ??
Flashlight	NEG	1	I buy this flashlight after see all the advertising for Maglite . what a disappointment ! it be small and put out maybe 20 lumen of light , if that . the lumen be so low that Maglite never even list the lumen on any of its product , unlike its competitor . this thing might make a decent booklight but that be not what I buy it for . for the same price at this over-hyped , underperformer I could get a flashlight 5x as powerful !
Flashlight	POS	5	excellent flashlight that will withstand the hard knock at a construction site . we use it to inspect down deep into the form wall -lrb- shutter -rrb- at U.S. Embassy Construction Sites .
Flashlight	POS	4	I initially have trouble insert the battery because the spring keep fall out . after the battery be successfully insert , the flashlight work as expect . I buy the flashlight for my camping trip . it fit snuggly in my shorts pocket , yet provide very bright light for the walk from the tent to the wash room . I highly recommend the flashlight because of its small size and bright light .
Flashlight	POS	5	I have several of these Mini MagLites . they be solid , well-made , great little flashlight , with extra feature : beam focus -lrb- just twist the head -rrb- , spare bulb holder -lrb- inside the rear cap -rrb- , and a candle mode -lrb- take the head off and it become a base for the barrel -rrb- . I have only have one fail , and that be my fault -lrb- I do not check the battery in one that be keep in a drawer and a expire battery leak -rrb- . why do I own several of these ? well , you have get to have one in each color , right ? seriously ... I keep one in the center console of my car . it be great for old eye look at a map or direction at night , when the dome light just be not quite enough . it be also a help for a quick look under the hood , in the trunk , or under the seat . of course , I keep a regular Mag-Lite in the trunk , too . I keep one in my office desk in case of a power outage , or when the time light go off in the evening , or for digging around in the computer or copier . I keep one by my home computer for those time when you have to go poke around inside . I keep one in the headboard of my bed , again in case of a power outage . I learn my lesson in the 1994 Northridge earthquake ; it be still dark and the power be out , and various and sundry thing have fall on the floor -- it be no fun walk around in the dark with bare foot when there be lot of stuff scatter about . there be a couple of other -lrb- kitchen and garage -rrb- , just to have around . just remember to check the battery every few month , and when the bulb burn out and you use the spare in the rear cap , replace it before you forget -lrb-  mag instrument lm2a001 replacement lamp for AA Mini MagLite , 2-pack
Flashlight	NEG	2	I expect a lot from a maglite . this one be very underwhelming . I think my two biggest problem be 1 -rrb- the HUGE hole in the light beam in the center , and 2 -rrb- the method of turn the light on and off . first the hole in the center of the beam be very large . as in , you have to hold the flashlight off center to see anything . it be literally a ring of light , not a disc . I end up focus the side of the ring on what I be look at , and in turn , use about 10 % of the light create . other small led flashlight just perform much better . on to the method of engage the light : to turn it on , it have the very old method of turn the head , in order to screw down to the battery . this be innovative in the 70 and be extremely out-dated . none of the other , full-sized maglite use this , they have a very handy button to turn it on and off . the flashlight that I replace this one with use a button on the base , and it work great ! this one turn on while in you pocket and drain the battery . speak of the battery , how can a lead burn through battery so fast ? in a single word , this flashlight be simply `` underwhelming '' .
Flashlight	POS	5	all the mag lite share solid aluminum construction and rubber o-ring seal .  what set the minus mag off from the other mag lite be its size -lrb- easy to hold with tooth while work under car , sink , etc -rrb- and one little known feature - `` candle '' mode . you adjust the beam focus by rotate the minus mag 's head , but if you continue turn the head pop off ; you be leave with the handle and the expose bulb , which be now throw light in all direction - it be a `` candle '' . flip the head over , place it on the ground\/table - it be now a `` candle holder '' . Stick the candle into the candle holder . instant candle for camping . -lrb- these direction be actually on the minus mag 's packaging , but it be not until I have buy my third minus mag -lrb- one for car , kitchen , daypack -rrb- that I notice . this be actually a great trick to show other minus mag owner ... they also throw they packaging away without look it -rrb-  two minus mag in the candle mode do a good job on a picnic table at night ... so get two of they ... they be cheap .
Flashlight	POS	5	this be a wonderful light that will fit easily in most purse and have a powerful light for such a small package . highly recommend .
Flashlight	POS	5	I already have the battery so i just need the light , but wow what a nice flash light . for the money you cant go wrong .
