Domain	Label	Rating	Review
GPS	POS	5	I 'll cut to the chase -- you will not find a better hand-held gp for the price . I do considerable research prior to purchase . the 450 be the best for the money -- accurate , touch menu drive -lrb- more menu option than most will ever need -rrb- -- very user friendly , however , because of the numerous feature , I recommend spend a few hour with the unit early on , so you will get the benefit of all of the feature . do a google search to find website that provide downloadable map for free that be compatible with the Garmin and have topographical feature -lrb- another reason to buy the 450 rather than the 450t -rrb- . you 'll end up with better topographical map for less $ $ . I have purchase 3 other GPS unit in the last few year , include 2 Garmin nuvi . after the initial satellite search which take a minute or so , the succeed power-up lock-on to a full compliment of satellite in seconds -lrb- often , literally 2-3 seconds -rrb- . I have never experience such a `` instant ready '' with any other GPS unit . bottom line : as good as they get !
GPS	POS	4	I have purchase this gp because I do not want to have to use the one on my phone , plus I do not really trust the phone accuracy . the price be right too ! I love the simplicity of this unit , the accuracy of the map and arrival time , and of course the free lifetime update of map and traffic . the only problem I have have with the unit be that it do not find the detoured route when the on-ramp to the interstate I need to get on be close , but that be probably because I do not set the unit to detour . otherwise , this be a great purchase and I would highly recommend it to a friend .
GPS	NEG	1	the device be difficult to use for the average person and the manual do not give very good instruction . also , I have have random problem . after take a full charge , it shut down the next morning in the first 5 minute of my workout . then on my next workout , it show the time and distance , etc. . . during the workout , but fail to record any of it to history , so the datum could not be view later . I do not find the feature describe in the manual to be useful and try to just use the basic feature of record workout seem to be hit or miss base on random problem . in try to email customer support , I continually receive notice that the system be not work and to try back later . I guess I 'll try call for support . I would not recommend this device .
GPS	POS	5	I originally buy a 60c in 2004 , so the only thing hold I back from the 60csx be convince the financial director that a second unit be justified . the main change be the use of a removable sd card and better reception . better reception be fantastic . this be a general purpose GPS so it can be use on the road and on the trail . it hang on you side like a cellphone and be often mistaken for one . on the road I use a windsheild suction mount and a dual powercable\/serial connection . there be no voice prompt , however the beep notification and text and graphic be sufficient for I . some navigator may not like take they eye off the road to check the unit however if located properly this be not a issue . on the trail use with topo map be also very good . the unit be design around Geocaching and I have do this a couple of time and be easily able to find the cache . as far as `` City Navigator North America 2008 '' , the complete map set take about 1.7 gb of a 2 GB Micro sd card . 2gb be the maximum size that you can use . private datum can also be store on the sd card . pre `` City Navigator North America 2008 '' , Garmin allow two unit to register with each map purchase , however retriction impose by NAVTEQ have force Garmin to only allow one unit per licence . overall , a excellent product that cover a lot of application . Satellite aquisition be extremely fast and I be able to get coverage in my house . if you be go to only use the GPS in you car and be look for voice prompt and fancy feature , then you be probably better off with a NUVI , however if you want general gp in the car , on you plane , on the handlebars of you Motor Cycle or Bicycle or strap to you belt , then this be the unit . I love my 60c and 60csx .
GPS	POS	5	this mount seem to work fine with my 2005 Subaru Legacy with the 6 cd changer . there be a small amount of movement but not enough to notice . the clamp arm be not perfect for a ipod touch but still hold it secure enough . the ipod touch be thin and taper at the edge , most phone be thicker . this be the best solution to attach a mount to the dash I have find .
GPS	NEG	1	I buy this product so that 4 computer could share one printer . Technically they can , you just have to logoff one computer before another can log on . something as simple as printing take 3 step . 1 -rrb- disconnect another connect computer . 2 -rrb- connect you computer . 3 -rrb- then print . this product be a waste of money .
GPS	POS	5	this navigation system work amazingly well . I use it to find my way from Maryland to Montreal . there be several different highway to navigate and Streetpilot be flawless in get I into the correct lane to make the change . drive around Montreal be much easier and I especially appreciate hear the correct pronunciation of the Streets in French . you will love the Streetpilot .
GPS	POS	4	I have be debate get this item for month . it be a great price for a great item . only small hiccup be when leave house it take I around block instead of straight through . but it recalculate very very quickly when I go off route . I love the fact that it have pous already available for you to search for and get direction too . the lighting and even mount be work great .
GPS	POS	5	I get the product very fast and it be what I order . I need this product for marine research in Mexico .
GPS	POS	5	I have have this gp for almost two year and use it every day . it work exactly as it be suppose to work . I use the weighted dash holder - not the windshield mount . I also add a sd card to backup my address , but I have never have to resort to this . it be very user friendly , and everyone in the family have no trouble use it . one time I have a problem get get reception . I contact tech support and quickly receive some advice that work right away . -lrb- it turn out that dust can collect in the antenna attachment - I be tell to just pull it off , blow on the connection , and replace it . Voila - satellite connection be restore ! -rrb- other than that , I have have no problem with my unit . the only two issue that would make this gp better would be to have it smaller and to have a internal battery . however , even with these drawback , it be a great gp , and my entire family have be very happy with it .
