Domain	Label	Rating	Review
Gloves	POS	5	I like these workout glove . they be nicely pad , which be important when use heavy weight or do thing like pushup on dumbell . glove be important when lift for prevent injury as well . I can not count how many time I have scrape , cut , pinch or nick my hand or finger just put weight on or take they off the bar . my hand be medium\/large and I buy large . I would not recommend a smaller size unless you hand be small\/medium .
Gloves	NEG	1	I buy these glove and they have hole in they in a three day . the stitching come out . they be crap . $ 25 for what ? if you actually work for a living just get a pair of regular leather work glove . these might be fine for weekend warrior but I be a landscaper and these glove just do not cut it . honestly , do not waste you money .
Gloves	POS	5	no complaint yet ! I have be work out with these for about 4 month now and have not have a problem . I go two size bigger than I think to be safe . at first they seem a slightly too large ... and I be worry ... but I think the conform to my hand , so now they fit perfectly . -lrb- I be originally think medium , but I go with XL and have be happy . -rrb-
Gloves	POS	5	yes there may be gym glove that you can get for a couple dollar less , but the quality suffer by a lot . this pair of glove be not only stylish but they serve they purpose to the best .
Gloves	POS	5	I get my dad these glove for Christmas and he love they . he do a lot of carpentry and could not stop talk about how good these glove be ! he immediately ask I where i get they from so he could buy another pair , just so he 'll have they . be sure the read the other review in the other size .
Gloves	POS	5	these be excellent medium duty work glove ! soft and flexible enough to handle screw and bolt with out a problem , yet strong and durable leather palm and extra leather pad in the right area to protect you hand . the velcro on the elastic wrist band keep the glove in place . they fit like a second skin . the leather palm would provide some low heat protection , but the back be weave plastic so do not try welding with they . I personally wear these glove most of the time while I be work . do not just buy one pair ... but two or three !
Gloves	POS	5	I really love the price vs amount for these glove . I use they to dye my hair , not for any medical purpose . I still need to be able to have sensitivity in my finger and protection from the dye and bleach and these do a great job . if i ever run out of these -lrb- it will be a while ! -rrb- I will definitely repurchase
Gloves	POS	5	buy these for my wife , who be a consumate gym rat . she love they . great fit , no velcro closure on the back to get gross over time . a great example of little thing make a sport more enjoyable .
Gloves	POS	4	although I measure my hand as instruct and order the proper size -lrb- small -rrb- , I would have prefer a smaller glove -lrb- I know my finger be short , but the whole glove seem too large -rrb- . I wear the glove today for my workout and really like the resistance it add . better arm workout be a great deal for I ! plus I can relax my hand when use these glove rather than have to cup they or try to hold my finger taut in the stroke . for background , I be swim for fitness and to rehab from a knee injury . I think the glove would be great when I be sculling -lrb- and they be ! -rrb- . I can see that when I be able to swim crawl stroke , these glove will facilitate my forward momentum .
Gloves	POS	4	glove be great you might want to get one size up , if you do not it might take you a minute or two to take they off ... I wish I get large instead of medium .
Gloves	POS	5	these glove be fantastic . be cheaper at the time to get from here instead of directly from the ironclad site . great glove . receive fast and in new condition .
Gloves	NEG	2	I think weightlifting glove be one of those item that you really need to try on before purchase . nevertheless the price be right on Amazon so I take the plunge only to find out that the size be not ideal . I be somewhere between a l and a XL , but the way these glove be make I do not think either would have fit I quite right . the glove look ok , but there be some strange sewing\/fabric near the finger that just irritated I enough to not want to wear they when lifting . ever since my wife make I start lift with glove to avoid those manly callouse I can not lift without they , but I much prefer the Nike strength glove which be make of a much thinner fabric and have a zipper to close as oppose to irritating velcro .
Gloves	POS	5	these be make for weight lifting , but I use they for motorcycle ride . good construction and good padding .
Gloves	POS	5	I be go to buy the velcro version of these but think I would try the fast fit glove as they be cheaper . im glad I do they fit really snug and stay on really well . they be well worth the price and I think be a better deal than the velcro one . make out of good material and really stand up to some rough work . they also allow you to work with smaller object unlike some work glove .
Gloves	POS	4	I use these glove daily , and they hold up to all the rough job I have to go and do .
Gloves	POS	5	we buy these to pound on a punch bag and they work great for it . I have never own glove before and would not know good from bad , but these do a great job at what we get they for !
Gloves	POS	4	I like these glove . there be plenty of padding , I use 108 wrap underneath and my hand do not hurt at all after beat hard on the bag for a hour . I get the 14oz pair . I do not have very big hand and they fit a lot better than most of the other glove I have try . the wrist strap be not the most secure , but these be good glove for the price .
Gloves	NEG	2	big deal . I , ve have better luck with weightlifter glove .2 week time and they start to unravel . the terry cloth for wipe sweat be a good idea though . hardly worth the 20 buck Ipaid for they .
Gloves	POS	4	Estos son lo guante que mas I gustan para nadar . Mucho mejore que lo aqua sphere . El asunto e que duran poco . Despues de una 50 ida a nadar , ya estan muy roto y hay que conseguirse otro . Tambien hay que tener cuidado con el tama & ntilde ; o. yo tengo manos grandes y solo I sirven bien el tama & ntilde ; o medium . Por el resto el producto e muy bueno , y comodo .
