Domain	Label	Rating	Review
GraphicsCard	POS	5	do not get I wrong this card be really awesome specially for the price , I have not OC ` ed mine -lrb- beyond the Saphire OC -rrb- as there be no need to for pretty much any game at 1920 x 1080 resolution , but this card have a great OC potential if you be into that . however it feel like some driver would really unleash the potential , ccc 12.6 beta be say to improve performance for the 7XXX series and it do improve it ! .
GraphicsCard	POS	5	I have have this card for a month so far and I buy it mainly so I could play the new Tribes : Ascend on max setting without any worry -lrb- which this card do just fine . I get a steady 30 fp even in high-action environment -rrb- . I think I might have some trouble get it to work with the 525 watt psu that come with my Alienware Aurora , but it work great . there be only one negative thing I have notice since I get this card , and that be it be big . it take up two PCIE slot in my Alienware Aurora case , so I have to remove my wireless network card -lrb- I use a wire connection anyway , so it do not really matter -rrb- because I want to keep my sound card install as well . all in all , it be a good buy . just know that it be big .
GraphicsCard	POS	4	I love this card . it have the best performance spec that I could find for a card under two hundred . it take everything I throw at it . Skyrim , battlefied3 , The Old Republic , all at highest setting and still get good fp . I would have give this card a 5 Star rating , but no crossfire ? also this card be massive , I have to push some of my hard drive forward and finagle cable in order to get it to fit . the fan be quiet until it reach 75 % -lrb- use MSI Afterburner -rrb- or higher fan speed .
GraphicsCard	POS	5	while this card be amazing and can take everything I throw at it , I be a little disappointed to find out that I be unable to unlock this card . I be not able to just flip a switch and I also be not able to get the rbe method to work either . I suppose I wait too long to pull the trigger on this wonderful video card . I have hear report that they be laser off the extra shader to force people to buy the 6970 . do not let that deter you from buy a hd6950 though ! you can still overclock to 6970 clock speed while maintain stability if you do not mind the extra noise and heat inefficiency . I upgrade to this card from a hd4850 and it instantly triple my 3DMark Vantage score ~ 22000 . this card do fit in a NZXT gamma ! i5-2500k @ 4.2 GHz cm hyper 212 + hd6950 @ 880\/1375 NZXT Gamma OCZ ModXStream 600W PSU 8GB Corsair Vengeance RAM ASUS P8Z68-V LE
GraphicsCard	POS	5	test all the benchmark out of the box with the latest driver as of the date of this review . Heaven 1920X1080 Tess : nor Shd : Hi Ani :16 x aa :8 x get 58fp . 3dmark11 performance -lrb- free option -rrb- graphic score 9500 . no crash yet , run cool and very quite . a + + card overall con be the power come out the top and the card be heavy and sag some . Time to go play . 6.9 update : go through the overclock procedure i get optimal overclock at only 1177 GPU boost +200 MHz memory stable no artifacts\/temp rise , start crash the bench app above 1200 + , complete system failure at 1300 + . I guess i should feel lucky consider many do not hit stock but many people with reference card be able to do more than what i be get . if you have a good card already i would wait for TSMC to resolve the 28nm manufacturing issue and then you be guarantee a card fit for overclocking . Kind of silly to do so now other than to ensure you can clock higher than reference , might be worth a $ 20 premium .
GraphicsCard	POS	5	just purchase this card , but so far it work great . I be look to purchase a second one and run it with the first in SLI mode .
GraphicsCard	NEG	1	while I do not purchase through Amazon , I want to share my experience with the product here to inform those interested in the card about its potential issue . there be no question that the Asus GTX 670 dc2 model be among the best look available , and the cooling solution be second to none . that be what attract I to the card - the slight difference in performance between the various option be of minimal concern 'cause they be all fast enough and test have show that if I want more performance all it would take be a bit of memory overclocking . such be not necessary though , as it have no problem with any of my game at 1920x1200 resolution with all the eye candy . I would think all be well as I have no issue whatsoever with the card for nearly three month ... then not quite two week ago I experience the first of many random black screen hard lock while gaming . after confirm that the graphic card be indeed at fault -lrb- a friend have the same card and swap they for a few day result in the black screen hard lock follow my card -rrb- I be now without my graphic card for potentially a entire month for a Asus RMA as they do not offer advanced replacement on graphic card . in the course of my troubleshooting , I come across numerous forum post from other Asus GTX 670 owner with either black screen hard lock or rsod issue . the disturbing part be that the majority of such report be also from owner who have be use they card for a month + without problem before it go bad , which definitely have I worried that there be a long term reliability issue with the design .
GraphicsCard	POS	5	Make sure you have both monitor hook up - I do not and could not complete setup until I do . I have a old clunker w3050 e-machine and can now stream netflix to my 42 inch flat screen ! that be all I want . what be really cool be I can hold the mouse down and move anything I be do from screen to screen . I can play Farmville on my 42 inch if I want . I would have have it hook up in no time but I do not have both the tv and the monitor hook up . I figure I would do that after I get it work . I could not get it work until I hook both up and restart my pc . so do it that way and do not sit and cuss for 3 hour like I do . also-i wish I would have know that older computer have different slot ! GOOGLE you computer and make sure you know what kind of slot you have ! older one have only PCI . if you be newer it may have pci-e this be a agp . if you do not know what I be talk about then you , be a idiot like I ! that why I have a $ 50 dollar pci-e card sit here collect dust ! Know you slot and do not try fitting a round peg into a square hole ! this card work perfect if you have the slot for it .
GraphicsCard	POS	5	the card have be great , no more driver crash in window like my gtx 460 be have . have always have good luck with evga . a little overpriced , but you be future proof with the newer connector come out in the future . I pay 289.00 and it drop to 269.00 the day after I recieve it . only a three year warranty on this one , but I know this .
GraphicsCard	POS	5	after do many reaserch , I buy this Sapphire 6870 1gb 256bit video card at the price $ 169 . because I do not have too many video or graphic job to do , it run fast and cool so far . the $ 20 rebate be process .
