Domain	Label	Rating	Review
Headphone	NEU	3	I buy these for use on a motorcycle . the older style of marshmallow from JVC be basically ear plug with a small audio speaker in the middle . for some reason these do not fit as well in my ear . they still allow for some noise to come through . I have put these to the side for now and be stick with the old one .
Headphone	NEG	1	the earbud be useless ! they didnt even work . the poorly make product be obviously a reason for it be so cheap . waste my money and time
Headphone	POS	5	cheap and just as good as bose qc ! well worth the price !!! Have have no problem with remanufactured goods from amazon !
Headphone	POS	5	ive have these for a couple day and there sick , im very big on my music . there great for all type of music just adjust the eq level , worth every cent , i love v moda im never onna change brand .
Headphone	NEG	2	these earbud be very comfortable and the choice of 3 different size be great . unfortunately when hook to the ipod the sound be dreadful -- very `` tinny '' . the earbud that come from Apple , although uncomfortable , be much better sound . it be like compare a regular radio to a Bose Wave Radio -- there be no comparison .
Headphone	POS	4	I be a relatively tough critic with electronics , and I have now own several pair of `` noise canceling '' in-ear-design headphone . to name a few Shure se210 and e2c , etymotic , and now these . I find the full sound , rich base , secure fit and lighter weight of these to be superior to the other . I do believe the Shure se210 offer better sound isolation -lrb- which be not the most important for I -rrb- and purer sound at high level -lrb- also not for I -rrb- . regardless , I find these headphone to be far superior to the other . it would be nice if these come with some foam ear bud , but that be not a big deal .
Headphone	POS	5	I 'll state up front that I be no audiophile , but I love music and I be pretty picky about how my music sound . I order these so I can listen to some of my `` parental advisory label '' song at work : -rrb- and let I tell you , for the price you would be hard-pressed to do better . the sound be just awesome , I can not even find the right adjective to describe it . Rich , full , textured , deep , etc. etc. . you get the idea . I could pick up tiny detail and even flaw in the music . I also find they to be very comfortable once I get they properly adjust , but I will also say that I be a girl , and my ear and head be probably smaller than a lot of guy ' ear . I get headache from anything that clamp my head too much or be too heavy , which be a problem with a lot of headphone . the eh-150 be light and rest on the head without be too tight , which be a huge plus for I . overall I would say they be totally worth what you be go to pay for they . to get much better than this , you would have to go up considerably in price , and hey , some of we have other thing to spend money on besides a $ 500 pair of headphone - like actual music to listen to . : -rrb- get these can !
Headphone	NEU	3	the headphone perform the task , sound quality be not as good as a wire connection would be
Headphone	NEU	3	I buy these headphone two year ago for $ 70 after loose my father 20year old pro4 -lrb- oop -rrb- . my big complaint about the pro4 be that -lrb- the 20 year old one -rrb- be heavy and not too comfortable so I choose the pro3 . they sound great for about 2 month when suddenly one earpiece just snap off the headband . for $ 6 + $ 7 shipping I return for a complete replacement . that be the great part . one year later I be do the same thing again . the earpiece snap off again . I be not abuse these . I be just try to put they on my head . Hindsight : I should have go for the pro4 or another brand that use metal instead of cheap , flimsy plastic . pro : good sound , light comfortable and will not break the bank . con : cheap construction . break very easily . if I could justify the mv1 I would go for those .
Headphone	POS	4	pro : great headphone for the price . worked right out of the box . good sound . charge battery 's very well . con : they fit a little loose on you head and slide off when bend over .
Headphone	POS	5	before purchase this product , I have be read about people recommend the Sennheiser hd555 's and whatnot and it concern I if the ad700 's be really the better deal . what I really want be a set of headphone that could be use for gaming and watch movies\/listening to music in general . as soon as the headphone arrive I be blow away by the soundstage that it carry . I play game such as cs 1.6 and previously with my old headphone I could hear the general location of where thing be , and with these new headphone I could hear the precise location of where every grenade land , to the extent that it shock I . as I be grind the headphone in for the first few hour the sound quality seem a little weak at first , but as soon as a week or two pass by the sound become amazing . I enjoy these headphone so much that even as I be wear they I feel like I be listen to my surround sound speaker . a thing to note that it be hard to adjust to the switch of use headphone mainly compare to speaker -lrb- as I do not realize how loud the headphone actually be since I forget that I be use headphone and not the speaker , mean the loud sound you get at that close range might be dangerous -rrb- . all in all , the headphone be fantastic and worth the money , as I doubt I will be need any new replacement in the future . oh and , the appearance of the headphone in person do not look as cheap as it seem on the picture you see ; actually , they seem like high-class headphone , a luxurious set of headphone make with lovely material that make you feel like a king .
Headphone	POS	5	it be absolutely right to refer the review . this headphone with 20 year history by SONY be brilliant and reliable one . I and my friend be so happy with this , it be the best headphone that we have ever have !!!!!
Headphone	POS	5	a Panasonic headphone for $ 5 ? this be a very good headphone for the money . if you have Amazon Prime , the shipping be free and it be deliver to you in two day . it be usable even if you ipod touch -lrb- 2g and 3g -rrb- have a protective case on it . I like the 90-degree headphone plug that make it less likely to break . the headband be adjustable , and its bass performance be quite good , consider its price .
Headphone	POS	5	it be so nice to listen to the song I like when I be on the computer and the T.V. be on next to I and I can not hear it .
Headphone	POS	5	simply put , these headphone be very reveal . do not purchase these if you plan on listen to low bit rate mp3 's . these phone be for high quality listening ... if you be a producer like I , you will want to remaster all of you work to match the quality capable of these phone ... mdr-sa5000 's tell the truth ! sometimes the truth hurt . : -rrb-
