Domain	Label	Rating	Review
HomeTheaterSystem	NEG	1	do not buy this product , $ 200 to watch 3 movie and a piece of trash . I believe there should be a class action suite against this product ! somebody with the legal expertise should organize this law suit .
HomeTheaterSystem	NEU	3	we set this unit up in my son room for use . the surround work well , and I be please with that . two thing we have have issue with . 1 -rrb- the unit never really turn off . its either in stand-by mode or on . normally its not a issue until you look at the next issue . 2 -rrb- the unit have a slight humm while its in stand-by mode . not a problem in a family room , but it be in a bedroom at night . have to put the unit on a power switch so it can be physically turn off .
HomeTheaterSystem	NEG	1	I purchase this system after read good review . when I set up this system I immediately notice lack of TREBLE . the system do not let you adjust treble , mid-range & base but it have pre-set sound such as Rock , Pop & so on ... I try all the preset but could not get any crisp treble from any of the setting . I try it with dvd , CD and the radio but there just be not enough treble but just dull sound as if you be listen to stereo system make in the '70 . I be return this system for either jvc or Panasonic . this be the last Sony I buy as far as home theater go . I be extremely disappointed .
HomeTheaterSystem	POS	5	my parent recently buy this for I and it rock !!! it only take my dad a hour or so to set it all up and hook my exist tv , VCR , and satellite receiver to the system . the remote control be easy to use , the sound be awesome and the speaker be great ! I especially like the speaker stand , cuz I didnt have to spend additional money on stand , plus the basis be heavy so the speaker will not fall over and they look really cool . the dvd player play all my dvd , cd and cd-r too . I be very satisfied with this product .
HomeTheaterSystem	POS	5	i have to return it because i love it ... can you believe that ? let I explain that : i be 36 so that mean im always look for the best , this be my second onkyo product , i get my first onkyo home theater in 2005 and be a bang for the buck !!! this one i buy it specifically because be only 2 speaker plus the woofer , easy installation !! i be try to avoid the hassle to install yard and yard of cable , and its only this one or the bose one . I get it today , then i install it , and after listen to it i decide to pay almost 30 buck to return it -lrb- i be honest and say its because i do not want it anymore -rrb- in order to exchange it for the top of the line -lrb- around 900 buck -rrb- because it make I remember why i love onkyo so much , believe I you wont regret it !!! when you start the config you can feel that you buy some high quality product , then one great surprise ; you have the option to buy the extra speaker from onkyo for 100 buck and convert it to full 5.1 -lrb- come with the connection -rrb- , anyway if some one complain about this , believe I , if someone complain about this home theater , be almost sure he\/she will about any other one .
HomeTheaterSystem	POS	5	I purchase this system about 4 month ago and have be very pleased with it . once I manage to haul the contents out of the very heavy and unwieldy box , I put it together fairly quickly . I be impress with the multiple inputs\/outputs that accomodate my satellite receiver and dvd player . the speaker be solid , make of wood , look good , and sound great . the receiver be easy to operate though I have to leave very specific direction for house guest so they could figure it out . I can not operate the subwoofer very loud to due my apartment neighbor but it seem to put out quite enough bass at the lowest level . the only problem I have have be finally figure out how to connect everything use component video from dvd to tv -lrb- since there be no component connection on the receiver -rrb- , s-video from satellite to receiver and a\/v connection to my VCR . the Onkyo website have good suggestion for configuration . the remote be a little disappointing -- I have to go buy a Sony universal remote in order to operate all my component but it be well worth the small ... investment to be able to do this . music sound good and movie sound great and even tv come through well use the tv logic setting . this be the best system available in this price range .
HomeTheaterSystem	NEG	1	after a little over a year of use a circuit board , on this ht-920 home theater system , develop a small crack result in intermittent sound . this be the diagnosis of one of they certify repair center . this system sit in the same place the whole time and be not move . the repair center communicate it be a know issue with the poor design , with the external speaker connector be part of the board . this be not in warranty period and the replacement part be no longer available . the repair center think Panasonic would replace subwoofer at no charge as they say Panasonic be aware of the issue and the new sub design have change as a result . do not happen . this be the second instance in the last 5 year where I have have a issue with a Panasonic home theater system and a know design issue . the other be with the ht-900 where a Panasonic engineer admit the defect and they do replace that system . I also own a Boston acoustic -lrb- 9 year -rrb- and Aiwa -lrb- 15 year -rrb- with no issue . to Panasonic 's credit I be very please with the 7 year old tv I own . I will not buy another home theater sound system from they and will think twice about purchase other Panasonic product . this be unfortunate as I be in the market for 2 lcd or plasma 42 '' tv and I have read allot of good thing about they plasma and lcd tv .
HomeTheaterSystem	POS	5	I recently buy this system because the price be right . I be not sure what to expect . after I set it up I be amaze at the performace . I be a little concerned about the low wattage on the Subwoofer , but not after I set it up . I follow bose instruction from they website that say to put the sub 's port face into a courner . I do this and have to actually turn down the sub to half because there be actually too much bass !
HomeTheaterSystem	NEG	2	buy this system base upon the review . bad decision . the system play cd 's fine , and the sound be great , but the dvd player skip all the time . grant some of the dvd 's we try be a bit old\/scratched , but they play ok on a $ 50.00 dvd player so you would expect they to be ok on one that cost 10x as much .
HomeTheaterSystem	NEG	2	the dvd surround sound work great , but use it as a receiver do not work at all for I . when I hook up the vcr or any other device like a playstation the surround sound do not work . I only play through the front left and right channel . I be go to return it .
