Domain	Label	Rating	Review
Jewelry	POS	5	better than the picture ! my stone come in a bit lighter and I like it . Perfect gift for the lady in you life !
Jewelry	POS	5	sabrina.com offer also offer outstanding support service ! a bonus , on top of excellent item ! i send a BIG thank you to the entire team !
Jewelry	NEG	1	I have a ring similar to this several year ago that be steal from I , be very impress by what be describe online & the image show of the item & so I buy it . buyer beware ! it be NOTHING LIKE the IMAGE SHOWN ! I be beyond disappointed & honestly would like my money back . the ring I get be blacken , very poorly craft , bent , dented , crack , scratch , crooked & look like it have be burn to a crisp before it be send to I -lrb- which be to say besides be mostly black all over , there be a coating of rough black substance quite like hardened soot on it -rrb- . I have have some bad purchase before but this be by far the worst . sometimes variation in the expectation of a online order be tolerable like size or color ... maybe even design and style but this look like they beat the crap out of it deliberatly before they send it to I . I will never buy from this seller again & strongly advise against other do so . seriously save you money and buy elsewhere
Jewelry	POS	5	this ring be everything I hope for , & more . the fit be perfect , the color be absolutely amazing . the aquamarine be the richest I think I have ever see .
Jewelry	POS	5	I buy this as a gift for we daughter and she love it . and so do all of she friend . the quality be very good and its very pretty .
Jewelry	POS	5	this be a very beautiful `` puzzle ring . '' my daughter wear it all the time , and she brother also enjoy solve the puzzle . Worth the price . very nice item . recommend .
Jewelry	POS	5	the picture to this ring do not do it justice ! the stone be a very beautiful shade of blue and not to mention beautifully cut ! I love this ring and hate to take it off my finger to shower and to do the dish !
Jewelry	POS	4	this pill box be just the thing I be search for ! I be a housewife living in the suburb of the city with not much to tide my time . I find myself bore , even while I be prepare dinner or stress while entertaining . my local doctor prescribe I with something to help - and it do ! I feel more energize than ever . what I need , while I be not yet to be a mother , be a mother 's little helper ! before this pill box I would have to carry about the actual pill bottle , from the doctor - that , I will tell you , be not very discrete . how embarrassing ! -lrb- Though , really , how discrete must we be if all of we housewife have a prescription ? -rrb- this box be beautiful and small enough to put in even my smallest of purse and it be easy to pop open and grab what I need in time to serve the next course . I highly recommend this item if you have a lot on you plate and want to stay discrete about it ! my husband think I use it to hold my powder and blush ! rejoice and relax as I have , and invest in this aid to you mommy 's little helper !
Jewelry	POS	5	the day I do not wear the blue one I wear this one . I really enjoy wear something celtic and pretty .
Jewelry	NEG	2	I be tell that the wide of this ring be 3\/8 '' and be 1\/4 '' I realize about that until I receive it . I do not get what I want . the ring its ok .
Jewelry	NEG	2	receive product promptly and a week sooner than I think . the product fit well and be comfortably . however for my liking it be not heavy enough and do not look like the picture . very little black on ring . so little it blend in and make the ring look dull and antique .
Jewelry	POS	4	I think this ring be abosolutely beautiful ! and for that price , I could not pass it up .
Jewelry	POS	5	the ring be beautiful and special . you will get compliment wherever you go . the most beautiful ring I have ever own .
Jewelry	NEU	3	-lrb- ... -rrb- this one -lrb- above -rrb- be much prettier . I have purchase the one picture through amazon at a jeweler , and at first , I think it be pretty , but as time go on , I find that it keep seperate from my engagement ring and be tell that it should be solder together . but it look as though just only after a year 's time , the enhancer have tarnish a lot , and the white gold have wear off quite a bit , so I do not want to make that committment . I be very disappointed with it , but could not return it .
Jewelry	POS	5	I just receive this ring , and I be love it . it be exactly what I have be look for . the ring be dainty , and the picture on Amazon do not do it justice . it also come in a cute box with a bow on it . the ring have 4 prong rather than 6 , but I still definitely recommend Gem Avenue . : -rrb-
Jewelry	POS	4	my girlfriend and I get a matching pair of these when we start date a year and a half ago . they have hold up beautifully despite they daily beating over the last 500 + day . definitely solid . and I \/ we love the wave design - it be clean , pretty , and I really like the subtle clever use of negative space for the oppose wave . like the ying and the yang . my only complaint be the welding on the outer spinning band . you can not see it in the picture , but where the outer-band be weld together , there be about 3mm of welding material , cover a entire wave , and it look a mess . fortunately , it be smooth and do not really bother I that much . I be spin it around most of the time anyway . and it be not like this be a Tiffany 's ring -- for the price , it be really hard to complain .
Jewelry	POS	5	this product be great . I get it for my daughter as a graduation gift and she absolutely love it . ship out very quickly as well . I would order again for sure .
Jewelry	POS	5	I get this ring and it be even more pretty than the picture . I have have lot of compliment about it .
Jewelry	POS	5	comfort be the right word to USE when talk about this ring ; NOT to MENTION that it look so BOHO -- LOVE that LOOK . again , THIS be FROM one of MY FAVORITE seller . THANKS SO MUCH regard , dh
Jewelry	POS	5	the ring arrive on time and be the one show in the picture . inexpensive , nice-looking , and my girlfriend like it !
Jewelry	POS	5	I have to have a item return for it be the wrong thing , but once i get my ring - it be worth the wait , in quality . thank you !
Jewelry	POS	5	I actually get this ring from a irish store around my town , but I have to say , it be one of my favorite ring . it be last awhile without get scratch at all and still look very polished . it be high quality and sturdy . I wear this ring several time a week and just absolutely love it .
Jewelry	POS	5	I have this ring and it be absolutely beautiful . I would highly recommend this ring . I be a black hill gold lover and this one impressed I .
Jewelry	POS	5	I be impress with the quality and detail of the ring . the person I buy it for love it , and as a jeweler herself , that say alot . I be afraid of the metal when I buy it , but she have have no problem . overall the ring be a gorgeous imitation of history and I would highly recommend it and the company I buy it from .
Jewelry	NEU	3	the gold band be a little thin , but the pearl and diamond be of good quality . the diamond accent , surprisingly , be `` eye-clear '' and very bright . overall pleased , just wish the band be a little wider . this product be okay if you be need a secondary accent piece , but a little lightweight for everyday wear . would recommend .
Jewelry	POS	5	I get this ring as a gift for someone . I notice the review be very complimentary so I go with it . I be very glad I do . this ring be very nice and have a great size and very detailed look . I check at place like walmart , target , and kohl and for be the same price they be extremely inferior . the 1 I see at kohl which be $ 40 look like it be make out of plastic . I check the 1 make in ireland as well and this 1 be even better than that . do not let the be make in Thailand thing throw you , its the best example of a classic claddagh ring I have see . the seller also be very fast in ship this out . I order late on a Monday evening and recieve by Friday . I do not normally review thing , but this def deserve it . I highly recommend .
Jewelry	NEG	1	I like the ring at first , but it be tarnish within 2 day .
Jewelry	POS	5	when this ring arrive I open it to see if I be happy , it be a gift for my teen grand daughter . the quality be nicer than I expect ... I would buy from this store again & again .
Jewelry	POS	5	this be a cute little ring either to wear alone or even as a stack ring . color be very pretty , and the silver seem of good quality . can not beat for the price .
Jewelry	POS	5	nice ring look very nice consider the cost . just look at it i would have guess considerably more $ .
Jewelry	POS	5	Excelente producto en plata , apreciamo el cuidado y la responsabilidad que el proveedor atendio el pedido . mi esposa esta encantada y feliz . Recomiendo la tienda a la entera comunidad de Amazon.com
Jewelry	POS	5	I love this ring . I get it for my mom for Christmas and she fall in love with it . it feel very comfortable on the finger , because its flat . it look like lace , very special ring , by the way it extend the appearance of you finger . you will love it .
