Domain	Label	Rating	Review
Keyboard	POS	4	it be a very good keyboard , very full of feature , just be sure to buy the bluetooth version ... and try to use some other bluetooth adapter to the computer ... it be not really a big deal , but when the keyboard crash -lrb- which be kinda part of the regular use -rrb- you just have to turn it off and then turn it on again ... be that simple -lrb- : you must have large hand if you want to use this keyboard as you smartphone keyboard , but it be still ok for I . the reason why I give only 4 star be because the lack of cell in the battery , do not last enough I might say ... the light in this keyboard be truly awesome !!!! you will be able to see all the key perfectly , no matter what ... -lrb- : overall I strongly recomend the keyboard .
Keyboard	POS	4	this shipping be quick and the packing be legit . it fit ok but one of the clip do not work but only on the bottom of the cover . they key board cover be awesome and the top cover of the computer fit just fine . overall satisfied with my purchase .
Keyboard	NEG	2	Google TV sound pretty cool . and it be ; it be a great interface that lay on top of you Cable tv and internet . but it be first gen and come with it be large share of problem which sort of make I feel like a beta tester . only I have to pay to be so . I buy Logitech 's flavor of Google tv ; the revue . Sony 's version be the same software . the con begin outweigh the pro 's for I , so I 'll start with those . - expensive price compare to other set top box -lrb- Roku , Boxee Box or software , appletv -rrb- - the keyboard controller be very hard to get cozy with . - Logitech 's harmony remote control you entire entertainment center . this package be advertise to include ` Harmony Link ' , which essentially mean it be a dumb down version that only control the Google tv , you receiver , dvr , and you tv . what it do not control be anything else -lrb- in my case ; computer , xbox , Roku -rrb- . and you can not teach it any new command or execute any Macros . to turn on\/off you system there be 3 power button , GoogleTV , Receiver , and tv . - you cable provider 's very ugly dvr interface be still use when watch tv . this look strange with Google TV overlay it , and make for a slightly confusing experience - -lrb- Wife : `` be I in GoogleTV now , or Comcast ? '' -rrb- - Google TV work much better with dish network 's DVR 's . in Google TV 's search box , you can type in any show name , and if it be available or playing in the future on Dish , it will list the show . from those result you can select a episode and set up a recording right from Google TV . with any other provider , you select the show , then it take you to you provider 's DVR interface and then you have to manually search for that show that be air in 3 week . good luck . - Audio\/Video sync issue . this be almost constant when watch live tv . Logitech be aware of the issue and be promise a fix , but not within the 30-day return window ; -lrb- - double View mode -lrb- picture-in-picture -rrb- be only work in some case . there have be recent update that have optimize double View , however . - system be sometimes laggy when navigate through GoogleTV 's menus\/apps . - ton of network have block Google TV Boxes from access they internet content . - still no Android Marketplace . - and one of my biggest wish be not yet available . I want to be able to open one search box , type in a item , hit search , then see a list of result from everything , even service I be a member of . currently you see result from Youtube , Amazon VOD , other internet site , and you Cable Provider . but no result from Netflix , Blockbuster , Hulu + -lrb- this be not accessible on gtv yet anyway . . -rrb- , and whatnot . so you have to search service after service to see if the content be available elsewhere . - control the system from you smartphone be pretty cool , but hard to use . the screen keep turn off and the phone auto-lock . the button be all touchscreen so you have to constantly be look at the screen to press a button . there be many ` possible ' plus to GoogleTV , like ` this feature will be available in a future update ' , or ` if x sign a deal with y , then google tv will finally get z ' . I be go to wait until those update and deal be make , then buy the latest and greatest gTV hardware available instead of be stick with this old first gen box . as for the pro : + the keyboard controller be very cool and easy to use when navigate through the menu , surf the web , or enter search term . + searching for content be great . + dual View -lrb- with recent update -rrb- be fantastic . + it be nice be able to quickly overlay a tv show to check something real quick on the web . + Software\/Firmware update ! Hope this help . these be opinion from a geek and a wife that both just want a solid , easy-to-use system . we be still very interested in gtv but want to hold off until faster hardware and more feature become available . in the meantime , we be happy with we Roku , and put up with Comcast . we rarely use the Boxee software I install on a dedicated pc because it be interface be too jumbled\/confusing . Google TV 's interface really shine in comparison .
Keyboard	POS	5	I have have this logitech diNovo Edge keyboard for 2 month now . I read the other review and this one be the only wireless keyboard that other reviewer be consistantly happy with . it be significately more expensive than other sell on Amazon . but my experience so far be that it work prefectly ! the lithum ion battery and bluetooth communication be worth it . I be glad that I spend the extra money and be not disapoint . the review system work great !
Keyboard	POS	4	this be a terrific accessory for the original iPad if you find yourself typing to any extent on the iPad screen . the best addition ? Arrow key ! part of what make it so terrfic be that you can use in either portrait or landscape orientation . I have use the keyboard that allow only portrait and they be bad for email . it be a ok case , where you fold the stand element down and place the ipad screen-down into the unit . it be very secure and do not scratch the screen , it can be a little tricky to remove and I have be think about adhering a small tab of some kind to the edge of my ` pad to make it easier . I like this product so much I be buy one for my elder father .
Keyboard	POS	5	I buy this keyboard\/mouse combo because I need a way to play my computer game that be display via hdmus to my big screen tv . this combo have a huge reach and I have never have a issue with the signal be drop or laggy . I buy these somewhere around 5 month ago and the original battery be still display as full with pretty heavy daily use . never see a mouse like this one , do not have the typical red laser eye for tracking , have no light at all actually , but it literately work on anything include my jeans . Logitech do it again , I be weary of spend this kind of cash on a keyboard and mouse , but I be very happy I do .
Keyboard	NEG	1	I do not speak Englishman like that that they forgive the mistake . this product do not work since the connection for the keyboard this one located exactly below of the tablet what it make impossible to place the adapter and to connect the keyboard ... not if I make myself explain but the conclusion be that if you buy it you will lose you money .
Keyboard	NEG	2	I have be use split keyboard since 1995 , all Microsoft . I could tell the current keyboard -lrb- of 8 year -rrb- be begin to skip letter as I type -- warn signal ! so I purchase a new one which have now move to storage until I be simply force to use it : 1 -rrb- keyboard click be sharp or tinny -- I think due to the thin material use for the housing . 2 -rrb- the keyboard speed be maddeningly slow . I have try the new keyboard on both xp and win 7 , set both OS 's at the highest speed and still the keyboard creep until I want to throw it out the window . regular typing be ok , but if you want to move the cursor to somewhere else on the page that have no keyboard shortcut , take a long deep breath . delete , whether forward or back be also annoyingly slow .
Keyboard	POS	5	I have only use this for about a month now , but it be exactly what I want ... simple , cheap and functional . it have all the basic key necessary and happily in the original standard configuration -lrb- i.e. window key , arrow , home\/end , page , return , keypad , etc. be all in the `` right '' place -rrb- . the leg on the bottom of the keyboard be the only questionable part when I first receive . they look a bit flimsy , but so far have be fine and they be slightly rubberize , so they provide a nice non-slip feature . as for the mouse , laser so accurate and spin wheel have nice feel to it . recommend esp . for price .
Keyboard	POS	5	gaming on the big screen !!! this product be the future of gaming and access to the internet right on you tv !! just awesome ! I be sure Amazon will have trouble keep these in stock . buy it ... you will love it .
