Domain	Label	Rating	Review
Projector	POS	4	good enough and cheap , great for use at home ! I completely quote the second review ! enjoy this nice projector ! ; -rrb-
Projector	POS	4	look for a bright , portable , quiet projoector ? this be it . great keystone control and color depth and brightness . only downside -- zoom effect be highly lack . do not expect to shrink or enlarge the image much once you have the projector set up . but for the money -- perfect projector .
Projector	POS	4	Update : I have use it quite a bit now , hook up the cable , computer , Seagate and now my Roku . hand down , Roku rock on this thing for Netflix and Hulu use the hdmus input . still have not try the Wii . the Seagate be awful and the computer and cable be ok . for some reason , the Roku seem to produce the most consistently good picture and I be play directly off a white wall with a near 6-foot tall picture . the light can even be on the lowest dim and you get a fine picture . you do not need a completely dark room for a perfectly enjoyable picture . the screen I buy will be use for outside since I have find play the larger picture on the wall be great . the built-in speaker be fine for tv but I buy a inexpensive speaker set at best buy that work better for movie . my little basement room be now like my own personal theater ! original review : First , I be amaze at how quickly this arrive . I be a prime member so I get good shipping time , but this be just astounding . I order it and it arrive the very next day ! I hook it up to my Macbook , which take a little more cabling than the various cable include but I have what I need . I play a movie and then Hulu and it work great . I do not have to have all the light off , and I be project onto a proper screen . I be not use the HDMI port but the quality of the picture be extremely good -- just like watch a large standard def tv . I also use headphone so I do not know how the speaker sound yet . overall , this meet my all my expectation and I would recommend it . one note : if you notice the usb port , it be not really a port ; it be placeholder for a port . I be sure a higher end of the same model must have the actual port .
Projector	POS	5	I buy this projector to use on a recent business trip . Works as advertise . nice and portable ; love that it run off a battery . I do not have experience with other projector in this category , but I be very pleased with the brightness and clarity of the image . one bit of warning : the stand that come with it suck . the thread be defective -lrb- do not thread into the projector -rrb- , and the leg would not stay in position . luckily , I have another desktop camera stand that I be use with it . I would avoid the `` spider-leg '' type stand . overall , very pleased with the device .
Projector	POS	5	Great Product . Luv it ! arrival time be earlier than expect . now I can watch my laptop on my 40 '' flat screen tv . thank you so much !
Projector	POS	5	the item be ship exactly as describe and work perfectly . it be package very well and work immediately upon plug in . I be so thrill to find such a excellent product and a great price , I will definitely consider this seller again .
Projector	POS	4	wassup people ! I have be search amazon for month to buy I a projector on my bday . go thru 100 of projector , compare each of they attribute on external site , and then finally decide to go for this model . here be what i feel about this proj : 1 . no setup require . plug n Play . 2 . the warm color project by this be a.w.e.s.o.m.e 3 . contrast could have be a lil higher -lrb- though in this range , this model have the best among other proj , cept 1161p which have 4000:1 -rrb- 4 . Plays any format , any `` p '' -lrb- 720 , 1080 -rrb- seamlessly . 5 . good native re , n pretty good scaling fr non native re too . 6 . 3d work !! -lrb- all u need be a graphic card capable to refresh at 120hz ! -rrb- 7 . good brightness . you can see thing in white light , in daylight a lil lesser . 8 . text be sharp . i have a nearly 6 ' high image in my room and text be great . if you look for a budget proj , this will more than do for you . i put avatar -lrb- blu ray -rrb- and be blow away by the quality of the projection . the only thing that bother I be that one of the edge be lil soft . on googling this i find that one need to have the proj at right angle to the screen -lrb- n my wooden desk be not exactly straight : -rrb- -rrb- . also , play game be simply amazing ! put up nf undercover - be blow away agn put up assassin creed - simply love the graphic my lcd now sit in the corner . be hooked to this thing ; -rrb- before buy this though , do know that this be not a home theater proj with 50k :1 contrast and all . the reason i buy this even though it do not have hdmus , coz its worth only if u buy a top notch proj to have a hdmus -lrb- for xbox ps3 wateva -rrb- get\/download good hi-def movie , hook up you sound system and you be ready ! hope this review help ; -rrb-
Projector	POS	5	just have to order my first replacement bulb for the 8100 , get 1750 hour out of it and have have no other issue whatsoever . as I be check for replacement bulb on Amazon I think I would check on the review for this projector and be surprise to find out about all the problem people have , especially with the bulb . I buy the unit in November of 09 -lrb- previously own a Panasonic -rrb- and have use it almost daily since then . set up be in the basement , good airflow , room temperature year round at about 68 degree . I clean the filter monthly , have not touch the fan yet , run in ECO mode at all time . under these condition I have have zero issue with the unit , and even though I actually feel that 1750 hour be a bit low -lrb- I get 2500 hour on the Panasonic -rrb- , see the complaint on here I guess I can count myself lucky . I would also mention that no one can ever seriously expect the hour on a lamp that a manufacturer estimate , 4000 hour be practically impossible to achieve , but I do expect around 2500 hour or so . have say that , I be overall extremely happy with the product and be wait for the replacement bulb to arrive soon . if any other issue arise , I will update .
Projector	POS	4	be grate for watch tv and play game for the price you cant beat it not the best but not the worst good for family night
Projector	NEU	3	there seem to be a awful lot of hype surround this projector . after the initial `` WOW ! '' factor its all down hill . sure its a bargain , but unreliable and , in my experiance , cant take a beating . after just 1 month the fan start make this awful , high pitched , buzz sound and the tech support , like all tech support , give you and ansewer that be 100 % correct , yet absolutly usless . for the money , you better off with 32inch lcd tv or something .
Projector	POS	5	I receive this clock about a week before the change to standard time here in CA , and the clock re-program itself without a hitch . we have two different alarm set , and find that setting and change the alarm be quick and painless . the construction of the clock be very sturdy , and everything on the clock work . in this day and age , that be amazing ! the nature sound be very nice ; we be currently use the windchime for both alarm . I highly recommend this clock - thank you to the previous reviewer , as I look at review to help in my decision-making .
Projector	POS	4	everyone review this product and rate it as if it be a $ 900.00 dlp hd projector . well quite simply it be not . this be a low price budget projector perfect for outdoor movie viewing and with a simple $ 20.00 converter box its good for presentation too . I have use it numerous time in my backyard to watch tv show and movie and everyone be pleased . no its not crystal clear but with some adjustment it be enjoyable and easy to view . the setup be quick and easy and with the use of a old projector screen brightness and color be not too bad . I be enjoy this product greatly consider I only pain $ 85.00 for the converter , projector and screen . I would recommend this to anyone look for a cheap projector for light use keep in mind it be cheap and the quality be not perfect .
