Domain	Label	Rating	Review
RiceCooker	NEG	1	I have own two of these rice cooker by aroma . while they work , I really like they . I like be able to cook rice ahead of time , and then hold it as I get the rest of the dinner ready . the first one of these stop work after 3 month . the second last 1 month . this model be not very expensive as rice cooker go , so I do not try to contact the manufacturer base on other people 's experience with that , just not worth the hassle . but you can bet I 'll be buy a different brand next time !
RiceCooker	POS	5	the cooker work rather well . I think because it be so cheap that it might not work well . it do the job and it be easy clean up because the lid and the rice pan come right off . some cooker have the lid attach and they be more difficult to clean .
RiceCooker	POS	4	I have use this rice cooker for 2 year now . it be a good product except for the follow fault it do not have a transparent lid and can not see how the rice be cooking -lrb- not that it be a must but be good to have -rrb- starchy rice like Jasmine rice and extra long grain rice produce a whitish frothy residue which be difficult to clean off . it stick to the lid and the rim of the base . I kind of use a toothpick to remove it from the hard to reach area . I give it four star because of the above .
RiceCooker	POS	5	several year ago , I own a large Zojirushi rice cooker , and it be a fine product . more recently , I buy the low-end model of Zojirushi rice cooker and vegetable steamer , and it work wonderfully for a cooker in its price range . I leave that model with a friend who be host a asian exchange student , and she use it to provide she guest with the same quality cook rice he be use to at home . I need a first-rate rice cooker , and again go with Zojirushi . I have now cook white rice , brown rice and make porridge , and I love this machine ! as always , two point : First , measure precisely . second , use the best rice you can afford to buy -- new crop rice from my local asian supermarket work particularly well . do these two thing , and you will have consistently excellent rice every time . I expect to get year of service out of this little cooker ; it perform as well as its big brother -lrb- at a much lower price -rrb- and take up about the same counter space as a toaster . altogether , a excellent deal !
RiceCooker	NEG	1	burn out in 5 day . will try to replace be ! beware dont purchase it . beware dont purchase it . beware dont purchase it . beware dont purchase it
RiceCooker	POS	5	this product be the perfect size for two people or for a small family . it will cook up to three pound of rice with no fuss at all . great product . I like be able to steam the veggy too !
RiceCooker	NEG	2	from the very first time I use the aroma rice cooker , the switch for `` cook '' would move to the `` warm '' position within the first minute of cooking . I would catch it and push it back to `` cook '' . after about 5 use the switch completely break and I could not set it to anything . I have to say that if I do not have this problem I would have keep the cooker because the rice come out great and we enjoy it . I return it to Amazon and actually order the same one again . I guess my thinking be what would be the odds of get another one like that . well I guess I get the jackpot because the new one also have the same switch problem . I say , `` enough be enough '' and pick a Sanyo rice cooker . I do see in the review that someone else have the same problem with they aroma rice cooker , just think it be one-of-a-kind issue , guess not !
RiceCooker	NEG	1	- work ok but require too much clean up . there be a lot of spill even when cook only 1\/2 cup - totally break down after less than 2 week . no power whatsoever when plug it in . - i be go for another brand and never go to trust black and decker again .
RiceCooker	POS	5	this be the best buy I have ever make from Amazon ... and I have make quite a few now . I absolutely love this machine and use it everyday for cooking just about every meal from Oatmeal in the morning to Pot Roast in the evening . I use every feature and have even make up way of use this machine that be not specify . I have make great Tofu , Hard Boiled Eggs , Rice , preserve , Soups & Stews and so much more . a great machine at a great buy ... you wont regret it !
RiceCooker	POS	5	Effective & inexpensive rice cooker . prepare softer grain rice -lrb- Thai Jasmine -rrb- to perfection . Black , brown , & red variety use more water & take longer to cook . spray a small amount of oil in the bottom of the removable , aluminum pot to help prevent sticking . Automatic thermostat switch to warm when do , keep rice warm for hour .
RiceCooker	POS	5	excellent . cook 3-1\/2 cup very well . sleek design look great permanently on the counter . bread-baking function be easy to use and decent . do not get it as it will not kill two bird with one stone . it make rice for 3 and bread adequately , you need a larger cooker for more than three and just about any bread maker -lrb- only bread -rrb- will blow its door off . it have a really heavy bowl that be easy to clean . price be a little high , $ 60 feel right .
RiceCooker	POS	5	I have not encounter any problem with this cooker , I have be use it for a few month now and it work great ! very durable , quick to cook and very thorough .
RiceCooker	NEU	3	this be really a good rice cooker with multiple function . I have be use it for about two year without any problem . but recently , I find small spot start to peel off from the inner pod . so I have to stop use it . I try to find a replacement pod . but I be tell that the inner pod be discontinue . it be really disappointed . they still sell the rice cooker online . but no where to order the inner pod .
RiceCooker	POS	5	get tire of eat minute rice , decide to give this a try since I could not only make some jasmine rice , but also steam some vegee 's ... have only have this maybe a month , but have use it so much it just sit on top of the fridge ... see some steelcut oatmeal in the cabinet & make enough for 3 day , so much easier than cooking on the stovetop ... so easy to clean ... I could see why it would be great for college student ... have to try it out for maybe keep gravy warm next thanksgiving ... maybe steam some hotdog , put the bun in the steamer tray for maybe a minute ... hope it last a long time , if not at this price I would not hesitate to buy another , just order one for my niece .
RiceCooker	POS	5	Got this as a wedding gift and have use it twice so far -lrb- for rice -rrb- . the rice have come out great both time ! I be use to make -lrb- and screw up -rrb- rice in those traditional glass-lid cooker . obviously , I do not have a talent for the skill . this cooker do the job just right . I be look forward to make bread with it as well , so that 'll be the next project for the wifey . my only complaint be that they do not make one of these in a larger capacity -lrb- i.e. 5 cup + -rrb- ! this be a pretty premature review consider we have only use the cooker twice so far , so hopefully it do not go die on we ! \* knock on wood \*
RiceCooker	POS	5	this be my first rice cooker . I be a bread baker by nature and be interested with the double function . I could not tell you how excited I be when I open up my first batch of rice and it come out perfect . it be easy to use , easy to clean and take up so little room . I even like the retractable cord . a great buy !
RiceCooker	NEG	2	this have be a huge disappointment . Food stick to the pot ; it be a waste and more work to clean up . it ask you to stir after 15 minute , but I be resist because not require any interference be what I love about rice maker , and I think my other rice maker explicitly forbid any stir . also , the rice be not come out the consistency I like , too wet on top and too stuck-to-the-pan on the bottom . my last rice maker be the same brand , inexpensive , and look just like this but larger and it have a great nonstick pot , make great rice and other steamed food from day one , even when cooking small amount . I love the crunchy rice at the bottom and aim for it , and it always slide right out . with this pot , there be scrape , and even though the pot be smaller , when I be make a small portion it feel like a lot be waste stick to ... go for a non-stick , no-stirring-required rice maker . non-nonstick one be a bear to clean up and hardly any cheaper . do not buy too small a capacity if you have the counterspace ; I think 5 cup be too small for I , give my bigger one could make very small portion , and steam larger thing like tamale , bao , broccoli , while this there be the waste food stickage .
RiceCooker	POS	4	this rice cooker work fine , the trick be 1 -rrb- rinse you rice , 2 -rrb- do not use the lid and it will not overflow . also , I use a electric kettle to boil the water first , then pour the already-hot water into the cooker with the rice , this will save some time .
RiceCooker	POS	5	I have be use the same simple on\/off rice cooker -lrb- purchase for about $ 25.00 -rrb- for year . it make cooking rice easy but it be time to replace it . I debate quite a bit on spending over $ 100 for this particular rice cooker ... could it really be that much better ? I think I would give it a try ... I have to say , I be so glad I do . this little gem cook rice perfectly . I always though my old rice cooker do a good job -lrb- despite the bit of burnt rice on the bottom of the pot -rrb- , but i really have no idea that rice could come out like this ! this cooker have make I a rice fanatic . brown rice be amazingly soft and tasty , and I have be try different type of white rice as well . the best part be that you can use this like a crockpot . you can really cook some great dish right in the cooker . put the ingredient hour before dinner , set the timer and come home to a perfectly cook rice meal . my kid have become huge fan of the porridge . a mix of oatmeal and cook rice with a hint of cinnamon and sugar make for a healthy , hearty breakfast that my family can not get enough of . I debate between the 3 cup and the 5 1\/2 cup , but since the 5 1\/2 cup be only a few dollar more I go with that and I be glad I do . I do not think the 3 cup would have be enough - especially since I be use it to cook meal . if you be in the market for a rice cooker , take a serious look at this . it be not just a rice cooker - be sure to get a rice cooker cookbook to compliment it though - the recipe that come with the machine be not that exciting .
RiceCooker	NEG	1	this say 3 cup on the box , but inside it be a tiny 1.5 cup rice cooker ! I now have to go through the hassle of return it . completely useless . belong to a kid 's play kitchen !
RiceCooker	POS	4	first it be a good rice cooker , not expensive , do what it be suppose to do , and quicker than another rice cooker we have . second it work also as a `` slow cooker '' in my home , and we be satisfy so far . third , I like its transparent glass lid , easy to see through . so , recommend , esp . consider its relatively lower price tag .
RiceCooker	POS	5	I pick the Sanyo ecj-hc55 base on the positive review on Amazon and because it come with a second bowl and lid . if you be look to use you rice cooker for more than just make rice , I strongly recommend this model , which cost about $ 10 more than the model with a single bowl . the second bowl allow you to make flavored rice dish , without leave any flavor behind to flavor you plain rice . both pot be very heavy , allow for very even cooking and no burning . cleanup be also very easy , due to the very effective , non-stick coating and the easily removable lid . as with most rice cooker in this category and price point , it do a excellent job on rice . measure you rice with the include cup , give it a rinse , add water to the measure inside the `` rice '' bowl , select the appropriate program -lrb- white rice in regular , firm , and soft , brown rice , sushi rice , porridge , etc -rrb- and you be reward with perfect rice in about a hour . there be also a nice countdown timer for the last 10 minute . once the rice finish and move to the `` keep warm '' setting , you rice stay great for hour , nice and moist with perfect temperature . so far we have use this cooker for white and brown rice , as well as jambalaya , paellum , lemon rice and rice and sausage . you can saute vegetable right in the cooker , before add the rice , to make complete meal right in the cooker . just use the `` Quick Cook '' program to heat the cooker up immediately , saute you veggy , then add rice and liquid and reset to a normal program -lrb- white or brown rice -rrb- and the cooker do the rest .
RiceCooker	POS	5	when my daughter take my Zojirushi rice cooker away to college I be hesitant to replace it with anything less than another Zojirushi . I have be pleasantly surprise to find the I now prefer my Sanyo cooker more than the Zojirushi . it clean up easier and have a much thicker cooking pan . Rice come out perfect every time .
RiceCooker	NEG	1	I buy a new one at target and after use it for 3 time , the button can not be push down . and sometimes it can be push down , but it will automaticlly jump up but the rice still not well cook . probably other be good , but mine be definitely can not work now , only 5 month .
RiceCooker	NEG	1	I buy this rice cooker on 23rd Jan. , 2012 and it be deliver to my house on 25th Jan. , 2012 . I use it every day accord to the instruction , it work okay . however , on 12th Feb. when I cook with it again , it work normally at first . ten minute later , I smell something burning and the indicator light go out . I count the date and find this cooker work for only 18 day , which sound like a joke . I would suggest pay more and gete a better quality one .  Black & Decker RC3303 3-Cup Rice Cooker
RiceCooker	POS	5	this product be great !! we use it at least twice every day and it make perfect rice every single time . whole family love it !
RiceCooker	POS	5	this rice cooker be the best appliance I have I have have many rice cooker and this 1 do the job perfectly you can not go wrong with this 1 buy it now !
RiceCooker	NEG	1	it work for I for 4 month and it be great . for 13.00 , I do not expect a whole lot . but I do expect it to work and last at least a year . nope . it die on I today . it will not light up or heat up . not impressed .
RiceCooker	NEG	2	it be only be two week since I buy it but it be already not work ! the life span be so short !
RiceCooker	POS	5	I have search for a rice cooker for a very long time . I do in fact buy a cheaper model at wal mart , a very well known brand that have great review . however I know right off it make lousy rice . I do want one make in Japan not China . however I do choose this Sanyo . I be very happy with the outcome . I do not make a lot rice . I be single retired & live alone . I do have back issue & stand at the stove to watchpot be not something I can do or want to do . this rice cooker cook all kind of rice to perfection . I also have make one pot meal with add chicken breast & some spice , from the little cookbook that come with . it be very good as well . I make a shrimp meal to . I like the very sturdy inner bowl . the whole unit be sturdy while be lightweight . be small but large enough for plenty of rice . its very easy to use . the button be nice a big & you can see they very well . I do wish the buzzer where louder tho . its very low & you can t barely hear it . still have to watch the clock & set a timer I can hear . it do finish when the book say it do . right on the dot . I do not use the warmer . I take out the rice when finish . I do not intend to use it for bread making . I have a breadmachine . I be very happy with this Sanyo rice cooker .
RiceCooker	POS	5	so , far , this be a great cooker ! I can do rice , quinoa , and even dry bean ! I have not try bread yet , but the manual say I can make it , too ! it be very useful . it be a great mid-range model , and a good size for a 2-person household .
RiceCooker	POS	5	cook rice -lrb- usually indian basmatus -rrb- perfectly , and steam veggy at the same time . very happy with it . no problem so far with rice sticking to bottom .
RiceCooker	POS	5	I also look at way too many rice cooker before I decide on this one - mainly because it be red . well guess what , it rock . Perfect rice , everytime !!! it do not even make a mess . I be shock . I have have other rice maker where it make that steamy white mess all over the couter top , and this do not at all !! and its fast . have not use the steamer tray yet , but i be sure its great . this be the rice maker to buy , enough say .
RiceCooker	POS	5	cook the best rice than ever ! very small and do the job for a sweet couple for they 1st anniversary !
RiceCooker	NEG	1	I recently buy this rice cooker but return it co it be very small than expect . the product info say it be a 3 cup rice cooker but please be aware that it be 3 cup of cook rice , or 1.5 cup of uncooked rice . most of the rice cooker in the market I have see describe they rice cooker in cup in term of uncooked rice .
RiceCooker	POS	5	I get this primarily to make hot oatmeal use the timer feature so it be ready first thing in the A.M. . it work great for that . oh , and it also make rice ! I have a large rice cooker already , but find I really need one suit to smaller batch most of the time and this be perfect .
RiceCooker	POS	4	this rice cooker be good quality . I use it daily for my lunch and find it very convenient to use and to clean . however , the size be relatively small . if you be interested in buy a rice cooker to cook for a family of any more that two people or for any more than one meal , you should consider buy a rice cooker that be a little larger than this one . other than that , I totally recommend it for the price and the quality !
RiceCooker	POS	5	I really can not believe how great he work or that I wait so long to purchase a rice cooker . I have have the pot for about two month now and use about 8 time . not one mishap . no boil out of unit or sputtering , no sticking or burn whatsoever ! I do always rinse the rice before cooking . if you be look for something that will also steam veggy this probably be not the cooker for you . but if you simply want great rice this be a beauty . the price be great too . do not take up much room on the counter and be attractive . as always , great shipping too . thanks Amazon .
RiceCooker	POS	5	excellent quality . ample size . great rice cooker ! no bell & whistle , just the basics in a excellent quality machine .
RiceCooker	POS	5	replace a aging rice cooker , I look at everything I could . this be the heavyweight champion . the heavy-gauge bowl - two of they - and the well design , secure detachable inner lid show the quality of this device . those be the feature that sell I , and I be not disappoint . -lrb- also have a neato self-swallowing cord ! -rrb- it make perfect rice of many type -lrb- yes I have already try many type in it -rrb- , keep it warm -lrb- or not , turn off -rrb- for a very long time with little if any loss of quality . I have not have a problem with the time it take as some report have ; the effortless perfect product more than compensate for any slight additional time . Easy to use , easy to clean , easy to store , work amazingly well , durable , not ugly . come with a double bowl . do it work better than a loose-lid cooker , or a cheaper fuzzy-logic cooker ? you bet .
RiceCooker	NEG	1	this rice cooker hold 3 cup total , which would be 3 cup uncooked rice . however , rice double in size when cook , and it will not hold 6 cup of rice . this be pure false advertising . I add a picture show the measurement marking in the container so other can see that this rice cooker will hold 3 cup cook rice , not 6 cup .
RiceCooker	POS	5	my first rice cooker ! cute as a dang button . Plays I a song when cooking begin and end . small footprint , quality material , adorable logo ... and the rice be not bad either . it cheer I up immediately . Worth the price !
RiceCooker	NEG	2	this rice cooker do make rice but let I say that a device design to cook a specific item should not only make it better but make less of a mess when use the traditional preparation method . it would have be nice to have this item make rice for I but I abhor have to clean up large mess like I be clean behind little kid play house . this appliance remind I of clean after child learn to cook . I still want a rice cooker but I want mine to be less mess while perform its job . I be disappoint in black and Decker . would I try this product again ? it would not be my first choice but then I be adept at make rice on a stove use a boiler so I be not in a hurry to purchase another rice cooker . I think there be something manufacturer can improve and this be one of those product . write this have make I want thai food . Gotta go . happy travels to all those who be in search of the great rice cooker !
