Domain	Label	Rating	Review
Sandal	POS	5	my boyfriend love these ... they last forever , be durable , and mold to you foot . you really cant go wrong with rainbow .
Sandal	POS	5	I have be wear these sandal for at least 30 year - I be so happy when they come out with a soft footbed !
Sandal	POS	5	this be the second pair of these sandle that I have purchase . I wear the first pair almost everyday for close to five year . from just normal wear around the house , to camping in the mountain . I finally have to order a new pair because the sole finally wear through .
Sandal	POS	5	I have never own any keen shoes\/sandals , I hear about they and even speak with some co-worker who own they . well I have my old pair of sandal give out because I use they to walk my dog around a local small lake . I think this be the time to try keen sandal since my old sandal be `` cheapy '' . I find these keen at a good price and buy a pair . after a few walk around my lake they be break in . I find they be comfortable and a better fit than my old pair . I also think about replace my old hike boot and find a pair KEEN Hybrids hike boot and decide base on the sandal to purchase they . I have faith in they just base on the sandal . I recommend KEEN for anyone look a good fitting pair of sandal .
Sandal	POS	5	these be by far the best quality sandal - period . why ? 1 . Premium material and construction . these be make to last forever 2 . ergonomic . they mold to you foot to give you custom , correct support for you foot . so comfy 3 . Terrific look 4 . guarantee against breakage 5 . make in USA , not some cheap , inferior import manufacturer seriously , I be very discerning of quality and only buy the best . you will be very pleased with Rainbow sandal .
Sandal	POS	5	all I can say be wow ! I have always be a huge fan of Teva 's - and still be - but these timberland be the nicest sandal I have ever see . I get a lot of compliment on they , they be comfortable , and they do not seem to get as sweaty as my Teva 's do .
Sandal	POS	5	within two week of buy my first pair , I buy two more . a lot of people say to get a half size larger-i purchase my regular size and they be fine . I get a kick out of wear my brightly color shoes-they look so cheerful . from what I can tell these shoe be sell like hotcake so I must not be the only one who really enjoy they . if you have plantar fascitis , these be pretty good support .
Sandal	POS	4	all of these positive review lead I to believe that many of they be fake . that be say I like these sandal . they have have cover for you toe so you do not jam you they on anything , they have bumpy bottom for better grip , and they feel comfortable to walk in . the one thing that I do not like about these sandal be there be only one strap ! even when I tighten the strap all the way they feel loose if I do not wear a double pair of sock with they . I think I buy a size too big but the lack of extra strap for a tighter fit be a bad idea . I be return these but I may buy a smaller size in the future .
Sandal	NEG	2	the sandal be good for the normal male 's foot . my son have a very thick foot and the toe thong and the strap be very , very tight .
Sandal	POS	4	I order these sandal online from Amazon , and while I do not usually shop for shoe online because of the size and have to try it out first , it be a winner . the size be perfect and the fit be very comfortable . the only reason I give it 4 star be because the price be a little high ... a hundred buck for sandal that will take some beating in walk , water ... etc. . still , they look great and fit great .
Sandal	POS	5	have to buy 5 pair of Birks because of lower back pain ... have be wear nothing but my birk for the last 6 week my back be much better ... great shoe ... and the soft bed have no break in time ... . pricey ... but so worth the money ... I have be put up with back pain every summer due to constantly wear sandle with no support ... I be now a total Birkenstock convert
Sandal	NEG	1	I be very disappointed in this product and will not buy it again . I would have return they but I hate do return so I keep they and will use they for teach purpose only . they be not suede upper and they do not have leather strap . most of the sandal be cardboard , stiff and do not work well as a dance shoe . I have discourage my student from buy this shoe as I beleve the picture show and description give be not accurate .
Sandal	POS	4	a very comfortable shoe that seem to be well make . my only problem be , I have a high instep that cause problem with shoe that have the tongue attach all the way up , like this one . it be tight get it on , but very comfortable once on . it would be perfect if I have a normal instep .
Sandal	POS	5	I buy these for my husband for we Disney World vacation . they be great and comfortable for the whole week !
Sandal	POS	5	this sandal be very confortable at a great price . the color be kind of yellowish , I would have prefer a darker brwon . definitelly recommend it .
Sandal	POS	5	shortly after buy shoe I put it the test . I ware they canoe in upper Michigan and then kayake on the Youghiogheny river . they hold up great and still look new .
Sandal	POS	5	as of this writing , 28 5-star -lrb- now 29 -rrb- review can not be wrong - thank you Amazon Community ! I be in the market when my old Skechers sandal tear , which have previously replace some old Nike sport sandal that gradualy become too loose\/stretched out . after read here that some people have have they for 5 year and such and some have multiple pair , I put my faith in the Amazon Community and order a pair . the size be right-on and the comfort and fitment feel great . flip-flops\/sandals be never ideal footwear to run in , but I feel it be a good testament , that these fit so well I could emergency-run in they if I choose to . -lrb- you never know when some angry chihuahua be go to go for you ankle ! -rrb- ; - -rrb- if I try to run in my old Skechers or Nike sandal , I would most definitely trip or they would fly off after a couple of stride . reasonable price , high quality , ultra-comfortable , good sizing and fitment , great review to back it up - a easy 5 Stars !
Sandal	POS	4	I like these sandal very much , but what to do when the lace break ? I have send keen two e-mail ask this question -- and have receive no reply . no shoe store that I have visit have ever see lace like these -lrb- bungee-cord style -rrb- . any suggestion ?
