Domain	Label	Rating	Review
Vacuum	POS	4	this feel really substantial , unlike many other cordless portable vac . have very good suction and be easy to maneuver around , though it be a bit heavy . the ability to fold it and store it in the charge cradle be also a plus . the only drawback be the cleaning . it be awkward to turn on its side and you really have to remove the two filter element to clean it out properly . not a game breaker but a nuisance .
Vacuum	POS	4	I have use several different hoover and eureka in recent year , so I have some perspective on vacuum cleaner in this price category , both bagged and bagless , and so far , I be find the Bissell measure up well . I do not think of Bissell as a top vacuum cleaner brand -lrb- I think of they as make rug shampooer -rrb- , but I have be impressed . pro : it have good suction -- my first use produce that `` wow '' when you see how much dirt be in the carpet you think be pretty clean ; it have multiple filter that be washable , so there be no maintenance cost for bag or filter ; the power upholstery attachment with spin beater brush work great -- much better than just have a little brush attachment that push the hair around ; it be extremely easy to assemble -lrb- one screw -rrb- ; it be sturdy and solid for the price ; it be not the lightest I have use -lrb- that would be the Eureka Lightspeed , which start to fall apart almost immediately -rrb- , but it be not overly heavy or bulky -- it be a good weight ; it be no more noisy than any of the other similarly-priced vacuum I have use ; the extension hose do not have to be place into a hole every time you want to use it and then pull out afterwards , unlike some other model -- it be always attach to the suction , so all you have to do be pull it out and start use it ; and the canister come off and go back in very easily -- more easily than some I have use -- and can be easily empty . con : I find little to complain about with this unit , but like all of the other vacuum cleaner I have use , the cord do not retract , so you have to always keep it out of the way as you vacuum . other have say the cord could be longer ; I find it be about average , but sure , a little longer would not hurt -lrb- although then there be more to keep out of the way -rrb- .
Vacuum	NEG	1	I pick this up for light cleaning b\/w maid visit and be thrill at first . it pick everything up , be fairly light but seamed solidly make . however about 4-5 month after purchase the the wheel stop spin . I clean the hair and check the belt and nothing work . bring it to a vacuum repair shop who get it spilling again - - for a day . then nothing . piece of crap . bring it back to the vacuum cleaner shop and they could not figure it out . and it do not pick up a thing if brush be not spin .
Vacuum	POS	4	I purchase this vacuum about 2 month ago . it work well . it pick up the dog hair , too . the only thing I do not like about it be the onboard tool . some fall off while vacuum and one of the place hold one of the tool have break so the tool do not fit on the vacuum anymore . I do not have the problem of it be too heavy as mention in other review . if you set the vacuum for the appropriate carpet height , the weight of push the vacuum be not a issue . for the price it be a great vacuum . I would purchase it again .
Vacuum	POS	5	so . much . after research several vacuum , this seem to fit my need -lrb- and the price ! -rrb- . it be super simple to put together ; you just need a screwdriver the first time you assemble it . the hose attachment be pretty cool , too , especially the Turbo Brush . they all fit nicely right in the pocket of the vacuum itself . I be almost embarrassed to say just how much crap this sucker suck up . we have three cat who do nothing but eat , sleep , vomit , and shed fur like it be go out of style , and this vacuum pick up EVERY furball they hack up ! not to mention kitty litter and food mess . we also have two different grade of carpeting , one of which whose flat , dense fiber be notoriously difficult to clean . I have to go over it multiple time with my old vacuum . the Bissel 's multiple floor adjustment -lrb- from high carpet to bare floor -rrb- make cleanup practically painless . plus , it have a hepa filter ! yay ! the only downside be fur and dust can accumulate in the top chamber which can make for a fussy , yucky clean-up , but honestly , I do not care about get my hand a little dirty , as long as the dust be off the floor ! and we have own this vacuum for over 5 month and it be still go strong . all in all , the Bissel make the Debbie-Homemaker in I so very very happy . -lrb- 3
Vacuum	NEU	3	I agree with some of the other review about the product be make cheap . I think it do a great job on my carpet , but in just a few month , the foot pedal start pop off everytime I use it . without the foot pedal , the vacuum will not stay upright without fall over . I think this could be a great product with some minor change in the design , but I would be hesitant to buy this again . I have only have mine a year , and I be already look to buy a new vacuum .
Vacuum	POS	4	I buy this after have problem with my previous Bissel bagless model , which lose its suction . this Eureka model work very well , have plenty of power , look kinda cool , and have lot of attachments\/cleaning mode . only downside be : the foot release lock be sorta hard to push ; it be kind of heavy , for a house with stair ; it be a tad loud ; the plastic body piece be a little too hard and rigid and it seem they could break in a couple year . overall I be very pleased with the purchase , after consult consumer report , etc. -lrb- I choose this over the blue Hoover model , which seem just a little too cheap -rrb- .
Vacuum	POS	5	after use this vacuum for over 6 month , I would definitely recommend this item . I have no problem run the unit for 15 minute without the power get low . suction be very strong . the noise level be comparable to a handheld DustBuster and clean out the vacuum be a similar mess also . we use this vacuum for daily cleaning of the kitchen eating area . the space be too big to cover with a handheld unit . but the cleaning require do not seem worthy of drag the cord vacuum out and wind and unwind the power cord . the recharge stand be also convenient for store this unit .
Vacuum	POS	5	very powerful and really get up the dust\/litter . I like the control . have only have it a very short time , but so far all be positive .
Vacuum	POS	5	these bag fit nicely into the Miele Canister . there be no plastic use , only cardboard , and the inventive `` enviro-closure '' be awesome at prevent dirt spilling out on bag change .
