Domain	Label	Rating	Review
Video_Games	NEU	3	this game feature a new 3d setup , which with the hero system I believe make the game more complicated than it need to be . be a active starcraft player , I find the mechanic bog I down when I try to play the campaign mission . I just hope starcraft 2 be not build like this game be .
Video_Games	POS	5	do a good job , the LED 's let you know when the battery be fully charge . it be small and do not take up much space . from what I have be read about the other charger on the market I would say it be safe to buy this one .
Video_Games	NEU	3	this product be definately not all it be crack up to be although the main thing for I be the trigger be not as nice as standard xbox trigger . 3.5 \/ 5
Video_Games	NEU	3	DaGeDar be a game where you control a DaGeDar steel ball and have it roll through a course . it actually remind I of Sonic the hedgehog with how you control the ball through loop and as you pass through item . you can receive Energy Chargers that refill you Turbo meter so you can go at turbo speed and fly through the air from a cannon . there be other boost and of course patch to slow you down or even eat up you ball so you have to start over . the game include 3 Championship Leagues , 7Zones , and 100 DaGeDar ball to unlock . you have to keep playing -lrb- racing -rrb- to get better speed and slowly you will unlock more and more of the game . so while the game be very easy to play , the challenge be to keep play to unlock more level and ball and get better time . my 3 year old love this game , that be how easy it be for he - now of course he have a horrible time and be not use Turbo or anything , but he be able to beat the level . for older kid it be the challenge of unlock everything and even compete against friend ! we only have one d otherwise I be sure my boy would love to race each other ! oh and the basic level and option you have in the beginning be okay but they definitely get cooler as the game go on !
Video_Games	POS	4	I get this game on the first day . I be so excited since i love the first one -lrb- except for the final drive mission -rrb- . it be gameplaywise it have really evolve , which be a good thing . you can now jack the covenant vehicle with `` right timing '' . also they get rid of the health meter , another good thing . all in all i love it . but that doa not mean it be perfect . Let 's move on ahead to the `` not so good '' part . there be a lot of glitch in the fmv sequence of the game . some object pop in & out . and , `` why would i wanna play as a arbiter ? '' . that part totally bum I out .
Video_Games	POS	5	my wife and she sister play these game . they both love this game and say it be a lot of fun . everything come on time and installation be no problem . no complaint .
Video_Games	POS	5	I purchase this remote because I intend to use it to control my xbox 360 's Windows Media Center Extender functionality . I quickly notice how adept it be at control all media that can play on it , include other service like play dvd , Netflix , and even just navigate the dashboard -lrb- new dashboard release in the end of 2011 work great ! -rrb- . I be pleasantly surprised - it will make it possible for my girlfriend to control the xbox without have to learn how to use the regular xbox 360 controller or yell at it to get the kinect to hear she over my speaker . : - -rrb-
Video_Games	NEG	1	not really a lot to say here . the graphic be actually spectacular . that be why it get the one star . the game itself be utter nonsense and absolute crap . I have see people get through it in as little as a bit over a hour , I take my time and get 3 out of it . nothing really here at all to offer to anyone who be a fan of drive game , unless you like the walmart arcade racer in the arcade area . then this would be right up you alley . the physics , as with all NFS game since ... the first few original , be absolutely ridiculous . the car themselves be gorgeous , but behave nothing like car . ea gamble it be entire game on be the only one to offer Porsches , due to a contract game like Forza 4 , be not allow to use Porsches . well , this strategy be a absolute , utter failure . it will never compete with game like Forza 3 or 4 , or Gran Turismo . I can not imagine it be really mean to though , it feel like they spend all of about 5 minute develop it . I suppose I be a bit harsh . I just like my drive game to feel like I be actually drive something . honestly , any drive game without a interior view automatically lose all star . this game have no real story , no real substance to it , but like I say , graphically it be honestly pretty awesome . as for judge if you should buy it or not , go to you local walmart , play one of those `` fast and the furious '' arcade game . if you like it , this be for you . if you be look for anything resemble actual driving , do not bother , honestly . at least not at the price it be be sell for now . when it drop to the 5 dollar value box , or if you be go to rent it , go for it . mercifully , I be smart enough to play before buying . do the world a favor and do not give ea or black Box any of you money . let evolution take it be course .
Video_Games	POS	5	ok before I start on the game , I will address this ` lagging ' issue . the only time this have happen to I be if I have be play for a while -lrb- lazy Saturday , woman not around , 6 hour in -rrb- and typically get choppy in a town . but you know what , I probably should not be play 6 hour straight anyways , but that be my problem now be not it ? my file be around 11mb and I have 100 hour of game time -lrb- yes , I be that awesome -rrb- . so I be not sure why everyone have give this 1 star . now , that be address ... endless fun . seriously , endless . I have not even explore everywhere yet . and when I plan on do a mission\/quest I end up get side-track when I come across a abandon keep or bump into someone who need help . for every quest I finish I have add 3 more . and they be the typical ` fetch ' quest either . the story be immersive as be each side quest . and these side quest be not straight forward . I ` read ' a random book at the beginning of the game and only just complete it , 100 hour later . I do not have the best armor\/weapons\/spells , I do not have all the shout , and I be not even max out on level up . the graphic be incredible too . as be the gameplay , dialogue\/sound effect , lighting . of course , with any game like this -lrb- or really in general -rrb- load be a bit tedious . so while all the above-mentioned make for a incredible gaming experience , have to load so much get a tad annoying . but whatever , I be a patient guy and it be worth it . it really be unfortunate that so many people give it 1 star base upon a lagging issue -lrb- which I believe be real and I be sure one of the two patch I have have address this and other will continue to in the future -rrb- . I have only come across a couple minor glitch and for a game with such scale that be quite impressive . I 'll continue to support Bethesda as they rarely disappoint . if you can get past the ` lagging ' complaint you will find yourself with the best game of the year -lrb- yes , that be include Modern Warfare ... stupid over rate fpss -rrb- . lastly , it be rare that a game come out that be truly one player . call I a loner , but I find most gaming better alone , make a personal experience , like read a book series ... uhhh but with button instead of word . Ok , that be enough babbling . I hope you consider Skyrim if you have not already . if not , whatever , I do .
Video_Games	NEG	1	xbox 360 mc2 race wheel be not work for I : -lrb- . . I connect it to the XBOX . . power be not get switch on for xbox 360 mc2 race wheel .
Video_Games	POS	5	my bud give I so much hype about this system so i buy it ... here be my thought the game be pretty pricey and there not really that good such as steel diver , pilot wing , pokemon rumble blast . if you go to buy a game i recomend you review it first : -lrb- the game that have come out that be good . be just remake into 3d effect such as star fox , zelda , splinter cell , metal gear , street fighter . its not a bad thing but its something that can be improve . they be all good game but nintedo be a smart company ... come on guy hit I with something new . : -lrb- although classic game be avaible for download there not offerd in 3d which be sorta odd : -lrb- the 3d can be hard to adjust to at time and its sometimes pointless in game -lrb- splinter cell , sonic gen -rrb- : \/ the ar card be briliant and add new spice to gaming . : d the camrea be amazing . theres a sd card that come with it so you can save on you pc . : -rrb- not really a big thing ... buttttt there no more picto chat : \/ mii plaza be a cool way to meet new people ... but other than a couple of minus game -lrb- find mii , puzzle -rrb- its nothing to brag about . : \/ its not to bad of a system im just glad i wait till the price drop .
Video_Games	NEG	2	after play the game with my cousin and read the online review I would have to say that this game pretty much suck the big one . OMG , Bungie , what the hell be you think put this game out there after we , the buyer , have to wait 2 + yr to play . I mean do not get I wrong , the graphic , the voice-over and the weapon be awesome . but , the end ? come on now , I save up big time to get this and have pre-order month in advance to receive the `` game of the year '' please ! the original , Halo , beat this one in to . also , I do not like playing between the Convenant and as Master Chief . pick one side and stick with it . they should make it like this : First play as Master Chief then after beat the game as a human give the option to play as the convenant or maybe ... the Flood . oh , Bungie , if you be read this : make a end that the gamer will like and not one the blow .
Video_Games	NEG	2	I enjoy part 2 and enjoy part 3 even more with the exception of the end and a key function . I love the graphic and game gameplay with this exception ; if you be near a hiding spot and you try to sprint from the enemy at that very spot , the game 's sprint function will choose to hide you right before the enemy , instead of sprint which cause the enemy to kill you . I really hope that that be not you most innovative thinking oh great E. A\/Bioware . be you tell I you could not assign a single key for sprint ? there be so many top of the line game available today all with they specific sprint key and for some deep scientific reason you could not have put that function in me3 ? now I truly try to appreciate a game , a story or movie for what it be , but Bioware and E.A just finish the job of ruin whatever remain liking I have for they base on what they have do to this game . the end make so sence what-so-ever . and despite so many person request for a better ending , the smart creator declare ` no we be not change it , it be fineeeeeeee the way it be . ' do you know that idiocracy be not right but rather a choice ? and to think they be ask so much money for it hah . to I it be as if they be work tirelessly to destory they fan base with these sort of foolish action . and then they complain that they have to sell the game for outrageous price with foolish excuse . really ? do sensible thing with the game and people will gladly buy it at a premium price point $ 25 - $ 35 . you will end up build you rep and fan base , and make you money in the process . so many thing about the game do not add up or do not make sence . now if that be what the game creator be try to achieve then man they stick gold . after play the single player I be like ` that be it , break the door down Kronk . ' if I could have return the game after play it then I would not even bother write a review as i could get my money back -lrb- even if i get less than what i pay -rrb- . but , these same game creator defend the right before the govt that they be lose $ $ when the consumer do not keep the software -lrb- result = no return open software -rrb- . why do not you make what the consumer will want to keep , then everyone would be happy ? you complain you do not collect $ $ on the sale of use product and I guess that make you feel cheated . what about the consumer who have invest they time and money into you product only to feel cheat ? you do not want to give they back a dime but you want to continue collect ? I will give you this , I have learn from this game experience that I be not buy any more game until I see a walkthrough for it . if I like it then i will buy it . no more will I listen the you advertising , I will listen to other gamer . and by then the game should cost less so it be a win win situation for I . since I already own the game I only play the multiplayer which be another story , but it be -lrb- in my view -rrb- still better than what they give as a end for the single player . never again E. A\/Bioware , never again !
Video_Games	POS	5	no doubt , this its the best console ever make . I can play game with my family and friend , listen to music , play awesome game , watch hd movie and much more fun ! I love it !!
Video_Games	POS	5	people kewp ask `` Whats isn so special about this game ? they think its stupid . ask most of they `` have u play it for more than two hour ? and most will reply no. . Animal Crossing have bad graphic and sound . all n64 japanese port have that charicteristic . what make Animal Crossing special ? 1 . it have a enormous amount of stuff u can do 2 . it come with a slew of classic NES game 3 . it be real time 4 . ITS NOT the SIMS !! ITS NOT SUPPOSED to be REAL !! -lrb- Hech , all ur neighbor be ANIMALS ! 5 . it dosent easily get repetitive -lrb- Play for short incriment each day . this way , u wont `` burn out '' and you can play for year and see all the cool new stuff each day . 6 . it come w \/ a free memory card 7 . its only $ 20 buck !
Video_Games	POS	5	who say the d do not have great game ? liar , that be who ! and with d Mario Kart you can say you have get one of the best title to hit the d ! and with Nintendo d now with Wi-Fi connection , you can play online and enjoy the fun with up to seven other player ! Mario Kart d , like all the other , feature grand prix race for you to race in . most of they will not be availible until you complete other race , but that be the fun of Mario Kart . the race be not too hard , and they be a load of fun ! four of these track be brand new , but several be take from previous Mario Kart title . from the SNES , to the GBA release just a couple of year ago . you can enter cup at 50cc , 100cc , or 150cc . this , of course , be the difficulty level . you 'll not only notice you opponent get faster , but they 'll get more aggressive as well . there be eight character with two vehcile each . well , at first . as you progress through the game you 'll unlock more . when decide on a character you of course be look at speed , acceleration , etc. but you may also want to look at thing like ... the drift ... or they item attribute . a low item attribute will often net you item that be pretty much useless . this be not just a rehash of a old game , though . I note that there be four new track , and that it actually combine earlier title . but there be also new powerup in this one . you now have a Bullet Bill power up which will increase you speed -lrb- and send you temporarily into auto-pilot -rrb- . you 'll also be able to fire off a bob-omb -lrb- that 'll really mess you opponent up -rrb- and you can now release a blooper -lrb- those squid guy -rrb- to squirt ink on the screen of you opponent . these new edition be worth it . in addition to the new power up and track , you have also get `` Mission '' mode . this will pit you into course where you 'll have to perform certain task to move on . for example , you may need to pass through gate in a certain order . there be six group with nine level each . each group end with a boss . now let 's move on to the best stuff . the reason a lot of we still play Mario Kart game . the battle ! you can do the balloon battle and shine runner in a single player mode , but not do they on multi-player would be a sin . Mario Kart d take complete and total advantage of Nintendo 's wi-fus usage . so challenge some people ! get on the Wi-Fi have great oppurtunity . you can have up to 36 rival , and you can challenge people all over the world . the problem of course , be you could lose the connection . there be little problem with the wi-fi connection , though , and it be much more fun than it appear to be . as you might have guess , the game look and sound great ! it be smooth , like the visual of the n64 version , only smoother -- not as blocky . the sound be great and so be the sound effect . and because the d in Stereo , you 'll love it with all you heart . Mario Kart d be another must own d title . it be not just some port of a old game , it throw in a ton of new stuff . so do not think of pass this up by say , `` I have get it on n64 ! '' the n64 version have nothing on this . so grab it ! the good : + FUN stuff to UNLOCK ! + Great Graphics + Great Sound ! + you can play multiplayer with a single pack ! + fully take advantage of Nintedno Wi-Fi + not just a rehash of Super Mario Kart 64 , it be actually it be own title ! the bad - you friend and family will certainly feel neglect -- unless they have this game !
Video_Games	POS	5	I buy this for my son for Christmas . it come with a stylus with a stand alone Lego guy . great value .
Video_Games	NEG	1	we buy this for Christmas think it would be fun for some family game time . we love the actual game but the video game be a joke . my husband who be very good at video game try two different challenge . you be require to do two different motion use the controller and nunchuck which prove to be very difficult . after try the training session for two different challenge -lrb- with not much success -rrb- we decide to return it to Amazon . the challenge would be a lot more fun in real life than in a video game .
Video_Games	NEU	3	first of all i didnt know it be a dvd rom when i first buy it and the bad thing be a have to buy a new computer really a lap top with a dvd rom but i hear that it have glich in it allot of glich and allot of bug so my friend have it since he have a dvd rom palyer and it be slow as hell but he cmputer be soo fast on other game like vice city and gta 3 its wire why be this game soo slow i only know its probally because its hell a lot bigger that the other gta put together ! graphic be good in it the gameplay be excellent and the sound be excellent you can put mp3 like cam ` ron and diplomat its fun when do that when just ride and listen to mp3 's graphic 8\/10 sound 10\/10 gameplay 10\/10 overall 9.3 i know i give it a 3 star but that because its a dvd rom player not a cd rom i know some people should be piss if they get this
Video_Games	POS	5	if you like to move this be the game for you . follow the dance move and score big in point and get exercise .
Video_Games	POS	5	I understand that security be ideal and necessary , but wait for a digital code download should not take up to 4 hour . I be excite to purchase m point in this manner , but I would just as soon buy the m point card instead . at least then I know for certain that my money will pay for the intended product . worry not , I still love Amazon !
Video_Games	POS	5	fast service and a quality product , I have no problem with this and as soon as I get it I get down to restore alot of my old game .
Video_Games	POS	5	I love the wrist strap be be very handy and my hand be free when play my wius game . thank much will do business again with this seller
